"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,5892,6,0,5886,0.0010183299389002,0,0.9989816700611
"[40,45)",1,7047,8,1,7038,0.00113523485170995,0.000141904356463743,0.998722860791826
"[45,50)",0,11224,19,2,11203,0.0016928011404134,0.000178189593727726,0.998129009265859
"[45,50)",1,14464,34,0,14430,0.00235066371681416,0,0.997649336283186
"[50,55)",0,12609,59,4,12546,0.00467919739868348,0.000317233721944643,0.995003568879372
"[50,55)",1,17401,53,1,17347,0.00304580196540429,0.0000574679616114016,0.996896730072984
"[55,60)",0,15274,94,2,15178,0.00615424905067435,0.000130941469163284,0.993714809480162
"[55,60)",1,20274,94,6,20174,0.00463648022097267,0.000295945546019532,0.995067574233008
"[60,65)",0,21605,192,6,21407,0.00888683175190928,0.000277713492247165,0.990835454755844
"[60,65)",1,27154,211,8,26935,0.00777049421816307,0.00029461589452751,0.991934889887309
"[65,70)",0,20753,334,16,20403,0.0160940586903098,0.000770972871392088,0.983134968438298
"[65,70)",1,22406,264,12,22130,0.0117825582433277,0.000535570829242167,0.98768187092743
"[70,75)",0,5461,99,6,5356,0.0181285478850027,0.00109869987181835,0.980772752243179
"[70,75)",1,5638,74,5,5559,0.0131252217098262,0.000886839304717985,0.985987938985456
