"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,169306,297,3,169006,0.00175422016939742,0.000017719395650479,0.998228060434952
"[40,45)",1,183841,747,10,183084,0.00406329382455491,0.0000543948303153268,0.99588231134513
"[45,50)",0,187752,514,10,187228,0.00273765392645618,0.000053261749541949,0.997209084324002
"[45,50)",1,202984,1095,14,201875,0.00539451385330863,0.0000689709533756355,0.994536515193316
"[50,55)",0,191734,887,17,190830,0.00462620088247259,0.0000886645039481782,0.995285134613579
"[50,55)",1,203977,1655,39,202283,0.0081136598734171,0.00019119802722856,0.991695142099354
"[55,60)",0,176579,1227,30,175322,0.00694873116282231,0.000169895627452868,0.992881373209725
"[55,60)",1,182586,1980,49,180557,0.0108442049226118,0.000268366687478777,0.988887428389909
"[60,65)",0,166370,1848,52,164470,0.0111077718338643,0.00031255635030354,0.988579671815832
"[60,65)",1,170565,2340,76,168149,0.0137191100167092,0.000445577932166623,0.985835312051124
"[65,70)",0,162410,2647,75,159688,0.0162982574964596,0.000461794224493566,0.983239948279047
"[65,70)",1,166487,3266,120,163101,0.019617147284773,0.000720776997603416,0.979662075717624
"[70,75)",0,131495,3433,133,127929,0.0261074565572835,0.00101144530210274,0.972881098140614
"[70,75)",1,140385,4378,206,135801,0.0311856679844713,0.00146739324001852,0.96734693877551
"[75,80)",0,104234,4625,221,99388,0.0443713183797993,0.00212022948366176,0.953508452136539
"[75,80)",1,119257,6157,316,112784,0.0516279966794402,0.00264973963792482,0.945722263682635
"[80,120]",0,147957,11059,582,136316,0.074744689335415,0.00393357529552505,0.92132173536906
"[80,120]",1,228084,18061,1120,208903,0.0791857385875379,0.00491047158064573,0.915903789831816
