"age_group","is_female","category","N","count","percent"
"[40,45)",0,"AFIB",169306,159,0.000939127969475388
"[40,45)",1,"AFIB",183841,33,0.000179502940040579
"[45,50)",0,"AFIB",187752,312,0.00166176658570881
"[45,50)",1,"AFIB",202984,73,0.000359634256887242
"[50,55)",0,"AFIB",191734,532,0.0027746774176724
"[50,55)",1,"AFIB",203977,186,0.000911867514474671
"[55,60)",0,"AFIB",176579,821,0.00464947700462682
"[55,60)",1,"AFIB",182586,357,0.00195524300877395
"[60,65)",0,"AFIB",166370,1226,0.00736911702831039
"[60,65)",1,"AFIB",170565,524,0.00307214258493829
"[65,70)",0,"AFIB",162410,1717,0.0105720091127394
"[65,70)",1,"AFIB",166487,973,0.0058443001555677
"[70,75)",0,"AFIB",131495,2001,0.0152173086429142
"[70,75)",1,"AFIB",140385,1356,0.00965915161876269
"[75,80)",0,"AFIB",104234,2254,0.0216244219736362
"[75,80)",1,"AFIB",119257,1863,0.0156217245109302
"[80,120]",0,"AFIB",147957,3994,0.0269943294335516
"[80,120]",1,"AFIB",228084,5311,0.023285280861437
"[40,45)",0,"Anemia",169306,212,0.00125217062596718
"[40,45)",1,"Anemia",183841,1673,0.00910025511175418
"[45,50)",0,"Anemia",187752,358,0.00190677063360177
"[45,50)",1,"Anemia",202984,2164,0.0106609387932054
"[50,55)",0,"Anemia",191734,519,0.00270687514994732
"[50,55)",1,"Anemia",203977,1650,0.0080891473058237
"[55,60)",0,"Anemia",176579,707,0.00400387362030593
"[55,60)",1,"Anemia",182586,985,0.00539471810544072
"[60,65)",0,"Anemia",166370,924,0.00555388591693214
"[60,65)",1,"Anemia",170565,1040,0.00609738222964852
"[65,70)",0,"Anemia",162410,1310,0.00806600578782095
"[65,70)",1,"Anemia",166487,1339,0.00804266999825812
"[70,75)",0,"Anemia",131495,1582,0.0120308756986958
"[70,75)",1,"Anemia",140385,1616,0.0115112013391744
"[75,80)",0,"Anemia",104234,1943,0.0186407506188
"[75,80)",1,"Anemia",119257,2127,0.01783543104388
"[80,120]",0,"Anemia",147957,4074,0.0275350270686754
"[80,120]",1,"Anemia",228084,5553,0.0243462934708265
"[40,45)",0,"Anxiety",169306,1473,0.0087002232643852
"[40,45)",1,"Anxiety",183841,2428,0.0132070648005614
"[45,50)",0,"Anxiety",187752,1441,0.00767501810899484
"[45,50)",1,"Anxiety",202984,2416,0.0119024159539668
"[50,55)",0,"Anxiety",191734,1247,0.00650380214255166
"[50,55)",1,"Anxiety",203977,2079,0.0101923256053379
"[55,60)",0,"Anxiety",176579,999,0.00565752439418051
"[55,60)",1,"Anxiety",182586,1781,0.00975430755917759
"[60,65)",0,"Anxiety",166370,764,0.00459217406984432
"[60,65)",1,"Anxiety",170565,1514,0.0088763814381614
"[65,70)",0,"Anxiety",162410,638,0.0039283295363586
"[65,70)",1,"Anxiety",166487,1304,0.00783244337395713
"[70,75)",0,"Anxiety",131495,475,0.00361230465036693
"[70,75)",1,"Anxiety",140385,1137,0.00809915589272358
"[75,80)",0,"Anxiety",104234,369,0.00354011167181534
"[75,80)",1,"Anxiety",119257,996,0.00835171101067443
"[80,120]",0,"Anxiety",147957,494,0.00333880789688896
"[80,120]",1,"Anxiety",228084,1577,0.00691411935953421
"[40,45)",0,"Arthritis",169306,2315,0.013673466976953
"[40,45)",1,"Arthritis",183841,1222,0.00664704826453294
"[45,50)",0,"Arthritis",187752,3487,0.0185723720652776
"[45,50)",1,"Arthritis",202984,2299,0.0113260158436133
"[50,55)",0,"Arthritis",191734,4830,0.0251911502393942
"[50,55)",1,"Arthritis",203977,3910,0.0191688278580428
"[55,60)",0,"Arthritis",176579,5751,0.0325689917827148
"[55,60)",1,"Arthritis",182586,5379,0.0294600900397621
"[60,65)",0,"Arthritis",166370,6619,0.0397848169742141
"[60,65)",1,"Arthritis",170565,6604,0.0387183771582681
"[65,70)",0,"Arthritis",162410,7357,0.0452989347946555
"[65,70)",1,"Arthritis",166487,7662,0.0460216112969781
"[70,75)",0,"Arthritis",131495,6821,0.0518726947792692
"[70,75)",1,"Arthritis",140385,7783,0.0554403960537094
"[75,80)",0,"Arthritis",104234,6209,0.05956789531247
"[75,80)",1,"Arthritis",119257,7538,0.0632080297173332
"[80,120]",0,"Arthritis",147957,8305,0.056131173246281
"[80,120]",1,"Arthritis",228084,12568,0.055102506094246
"[40,45)",0,"CAD",169306,297,0.00175422016939742
"[40,45)",1,"CAD",183841,95,0.000516750887995605
"[45,50)",0,"CAD",187752,659,0.00350994929481444
"[45,50)",1,"CAD",202984,196,0.000965593347258897
"[50,55)",0,"CAD",191734,1207,0.00629517978032065
"[50,55)",1,"CAD",203977,331,0.00162273197468342
"[55,60)",0,"CAD",176579,1573,0.00890819406611205
"[55,60)",1,"CAD",182586,485,0.00265628251892259
"[60,65)",0,"CAD",166370,1789,0.0107531405902506
"[60,65)",1,"CAD",170565,624,0.00365842933778911
"[65,70)",0,"CAD",162410,1812,0.0111569484637645
"[65,70)",1,"CAD",166487,831,0.00499138070840366
"[70,75)",0,"CAD",131495,1669,0.0126924978136051
"[70,75)",1,"CAD",140385,929,0.0066175161163942
"[75,80)",0,"CAD",104234,1533,0.0147072932056719
"[75,80)",1,"CAD",119257,1034,0.0086703505873869
"[80,120]",0,"CAD",147957,2474,0.016721074366201
"[80,120]",1,"CAD",228084,2492,0.0109257992669367
"[40,45)",0,"CVA",169306,145,0.000856437456439819
"[40,45)",1,"CVA",183841,104,0.000565706235279399
"[45,50)",0,"CVA",187752,244,0.00129958668882355
"[45,50)",1,"CVA",202984,202,0.000995152327277027
"[50,55)",0,"CVA",191734,420,0.00219053480342558
"[50,55)",1,"CVA",203977,308,0.00150997416375376
"[55,60)",0,"CVA",176579,567,0.00321102735885921
"[55,60)",1,"CVA",182586,388,0.00212502601513807
"[60,65)",0,"CVA",166370,742,0.00445993869086975
"[60,65)",1,"CVA",170565,533,0.00312490839269487
"[65,70)",0,"CVA",162410,828,0.00509820823840897
"[65,70)",1,"CVA",166487,650,0.00390420873701851
"[70,75)",0,"CVA",131495,1011,0.00768850526635994
"[70,75)",1,"CVA",140385,837,0.00596217544609467
"[75,80)",0,"CVA",104234,1061,0.0101790202812902
"[75,80)",1,"CVA",119257,995,0.00834332575865568
"[80,120]",0,"CVA",147957,2056,0.0138959292226796
"[80,120]",1,"CVA",228084,2973,0.0130346714368391
"[40,45)",0,"Cancer",169306,311,0.00183691068243299
"[40,45)",1,"Cancer",183841,374,0.00203436665379322
"[45,50)",0,"Cancer",187752,513,0.00273232775150198
"[45,50)",1,"Cancer",202984,686,0.00337957671540614
"[50,55)",0,"Cancer",191734,825,0.00430283622101453
"[50,55)",1,"Cancer",203977,955,0.00468190041034038
"[55,60)",0,"Cancer",176579,1262,0.00714694272818399
"[55,60)",1,"Cancer",182586,1148,0.00628744810664564
"[60,65)",0,"Cancer",166370,1752,0.0105307447256116
