"age_group","is_female","category","N","count","percent"
"[40,45)",0,"AFIB",5892,0,0
"[40,45)",1,"AFIB",7047,0,0
"[45,50)",0,"AFIB",11224,0,0
"[45,50)",1,"AFIB",14464,0,0
"[50,55)",0,"AFIB",12609,24,0.00190340233166786
"[50,55)",1,"AFIB",17401,0,0
"[55,60)",0,"AFIB",15274,46,0.00301165379075553
"[55,60)",1,"AFIB",20274,0,0
"[60,65)",0,"AFIB",21605,133,0.00615598241147882
"[60,65)",1,"AFIB",27154,73,0.00268837003756353
"[65,70)",0,"AFIB",20753,210,0.0101190189370212
"[65,70)",1,"AFIB",22406,94,0.00419530482906364
"[70,75)",0,"AFIB",5461,75,0.0137337483977294
"[70,75)",1,"AFIB",5638,0,0
"[40,45)",0,"Anemia",5892,0,0
"[40,45)",1,"Anemia",7047,85,0.0120618702994182
"[45,50)",0,"Anemia",11224,37,0.00329650748396294
"[45,50)",1,"Anemia",14464,196,0.0135508849557522
"[50,55)",0,"Anemia",12609,56,0.004441272107225
"[50,55)",1,"Anemia",17401,171,0.00982702143554968
"[55,60)",0,"Anemia",15274,77,0.00504124656278643
"[55,60)",1,"Anemia",20274,157,0.00774390845417776
"[60,65)",0,"Anemia",21605,149,0.00689655172413793
"[60,65)",1,"Anemia",27154,211,0.00777049421816307
"[65,70)",0,"Anemia",20753,181,0.00872163060762299
"[65,70)",1,"Anemia",22406,202,0.00901544229224315
"[70,75)",0,"Anemia",5461,63,0.0115363486540927
"[70,75)",1,"Anemia",5638,48,0.00851365732529266
"[40,45)",0,"Anxiety",5892,0,0
"[40,45)",1,"Anxiety",7047,35,0.00496665247623102
"[45,50)",0,"Anxiety",11224,28,0.00249465431218817
"[45,50)",1,"Anxiety",14464,78,0.00539269911504425
"[50,55)",0,"Anxiety",12609,44,0.00348957094139107
"[50,55)",1,"Anxiety",17401,80,0.00459743692891213
"[55,60)",0,"Anxiety",15274,36,0.00235694644493911
"[55,60)",1,"Anxiety",20274,73,0.00360067080990431
"[60,65)",0,"Anxiety",21605,44,0.00203656560981254
"[60,65)",1,"Anxiety",27154,96,0.00353539073433012
"[65,70)",0,"Anxiety",20753,42,0.00202380378740423
"[65,70)",1,"Anxiety",22406,65,0.00290100865839507
"[70,75)",0,"Anxiety",5461,0,0
"[70,75)",1,"Anxiety",5638,30,0.00532103582830791
"[40,45)",0,"Arthritis",5892,88,0.0149355057705363
"[40,45)",1,"Arthritis",7047,68,0.00964949623953455
"[45,50)",0,"Arthritis",11224,220,0.0196008553100499
"[45,50)",1,"Arthritis",14464,183,0.0126521017699115
"[50,55)",0,"Arthritis",12609,344,0.0272821000872393
"[50,55)",1,"Arthritis",17401,430,0.0247112234929027
"[55,60)",0,"Arthritis",15274,588,0.0384967919340055
"[55,60)",1,"Arthritis",20274,812,0.0400512972279767
"[60,65)",0,"Arthritis",21605,1028,0.0475815783383476
"[60,65)",1,"Arthritis",27154,1479,0.0544671135007734
"[65,70)",0,"Arthritis",20753,1351,0.0650990218281694
"[65,70)",1,"Arthritis",22406,1498,0.0668570918503972
"[70,75)",0,"Arthritis",5461,370,0.0677531587621315
"[70,75)",1,"Arthritis",5638,410,0.0727208229868748
"[40,45)",0,"CAD",5892,0,0
"[40,45)",1,"CAD",7047,0,0
"[45,50)",0,"CAD",11224,43,0.00383107626514612
"[45,50)",1,"CAD",14464,24,0.00165929203539823
"[50,55)",0,"CAD",12609,119,0.00943770322785312
"[50,55)",1,"CAD",17401,54,0.00310326992701569
"[55,60)",0,"CAD",15274,198,0.0129632054471651
"[55,60)",1,"CAD",20274,101,0.00498175002466213
"[60,65)",0,"CAD",21605,495,0.0229113631103911
"[60,65)",1,"CAD",27154,236,0.00869116888856154
"[65,70)",0,"CAD",20753,755,0.0363802823688141
"[65,70)",1,"CAD",22406,332,0.0148174596090333
"[70,75)",0,"CAD",5461,211,0.0386376121589452
"[70,75)",1,"CAD",5638,121,0.0214615111741752
"[40,45)",0,"CVA",5892,0,0
"[40,45)",1,"CVA",7047,0,0
"[45,50)",0,"CVA",11224,0,0
"[45,50)",1,"CVA",14464,0,0
"[50,55)",0,"CVA",12609,27,0.00214132762312634
"[50,55)",1,"CVA",17401,20,0.00114935923222803
"[55,60)",0,"CVA",15274,45,0.00294618305617389
"[55,60)",1,"CVA",20274,44,0.00217026733747657
"[60,65)",0,"CVA",21605,97,0.00448970145799583
"[60,65)",1,"CVA",27154,80,0.0029461589452751
"[65,70)",0,"CVA",20753,136,0.00655326940683275
"[65,70)",1,"CVA",22406,91,0.0040614121217531
"[70,75)",0,"CVA",5461,61,0.0111701153634865
"[70,75)",1,"CVA",5638,45,0.00798155374246187
"[40,45)",0,"Cancer",5892,29,0.00492192803801765
"[40,45)",1,"Cancer",7047,26,0.00368951326805733
"[45,50)",0,"Cancer",11224,49,0.00436564504632929
"[45,50)",1,"Cancer",14464,86,0.00594579646017699
"[50,55)",0,"Cancer",12609,108,0.00856531049250535
"[50,55)",1,"Cancer",17401,136,0.00781564277915062
"[55,60)",0,"Cancer",15274,174,0.0113919078172057
"[55,60)",1,"Cancer",20274,188,0.00927296044194535
"[60,65)",0,"Cancer",21605,442,0.0204582272622078
"[60,65)",1,"Cancer",27154,376,0.013846947042793
"[65,70)",0,"Cancer",20753,586,0.0282368814147352
"[65,70)",1,"Cancer",22406,409,0.0182540390966705
"[70,75)",0,"Cancer",5461,204,0.0373557956418238
"[70,75)",1,"Cancer",5638,101,0.0179141539553033
"[40,45)",0,"Chronpain",5892,90,0.0152749490835031
"[40,45)",1,"Chronpain",7047,116,0.0164609053497942
"[45,50)",0,"Chronpain",11224,165,0.0147006414825374
"[45,50)",1,"Chronpain",14464,256,0.0176991150442478
"[50,55)",0,"Chronpain",12609,160,0.0126893488777857
"[50,55)",1,"Chronpain",17401,256,0.0147117981725188
"[55,60)",0,"Chronpain",15274,214,0.0140107372004714
"[55,60)",1,"Chronpain",20274,328,0.0161783565157344
"[60,65)",0,"Chronpain",21605,313,0.0144873871788938
"[60,65)",1,"Chronpain",27154,445,0.0163880091330927
"[65,70)",0,"Chronpain",20753,301,0.0145039271430637
"[65,70)",1,"Chronpain",22406,346,0.0154422922431492
"[70,75)",0,"Chronpain",5461,74,0.0135506317524263
"[70,75)",1,"Chronpain",5638,101,0.0179141539553033
"[40,45)",0,"Dementia",5892,0,0
"[40,45)",1,"Dementia",7047,0,0
"[45,50)",0,"Dementia",11224,26,0.00231646471846044
"[45,50)",1,"Dementia",14464,0,0
"[50,55)",0,"Dementia",12609,29,0.00229994448409866
"[50,55)",1,"Dementia",17401,31,0.00178150680995345
"[55,60)",0,"Dementia",15274,44,0.00288071232159225
"[55,60)",1,"Dementia",20274,30,0.00147972773009766
"[60,65)",0,"Dementia",21605,59,0.00273084934043046
"[60,65)",1,"Dementia",27154,56,0.00206231126169257
"[65,70)",0,"Dementia",20753,70,0.00337300631234038
"[65,70)",1,"Dementia",22406,43,0.00191912880478443
"[70,75)",0,"Dementia",5461,27,0.00494414942318257
"[70,75)",1,"Dementia",5638,0,0
"[40,45)",0,"Depress",5892,95,0.0161235573659199
"[40,45)",1,"Depress",7047,167,0.0236980275294452
"[45,50)",0,"Depress",11224,168,0.014967925873129
"[45,50)",1,"Depress",14464,365,0.0252350663716814
"[50,55)",0,"Depress",12609,192,0.0152272186533429
"[50,55)",1,"Depress",17401,423,0.0243089477616229
"[55,60)",0,"Depress",15274,213,0.0139452664658897
"[55,60)",1,"Depress",20274,355,0.0175101114728223
"[60,65)",0,"Depress",21605,249,0.0115251099282573
"[60,65)",1,"Depress",27154,417,0.0153568535022464
"[65,70)",0,"Depress",20753,184,0.00886618802100901
"[65,70)",1,"Depress",22406,242,0.010800678389717
"[70,75)",0,"Depress",5461,46,0.00842336568394067
"[70,75)",1,"Depress",5638,78,0.0138346931536006
"[40,45)",0,"Diabetes",5892,61,0.0103530210454854
"[40,45)",1,"Diabetes",7047,55,0.00780473960550589
"[45,50)",0,"Diabetes",11224,186,0.0165716322166785
"[45,50)",1,"Diabetes",14464,108,0.00746681415929204
"[50,55)",0,"Diabetes",12609,291,0.0230787532714728
"[50,55)",1,"Diabetes",17401,193,0.0110913165910005
