"age_group","is_female","category","N","count","percent"
"[40,45)",0,"AFIB",55073,112,0.00203366440905707
"[40,45)",1,"AFIB",50353,37,0.000734812225686652
"[45,50)",0,"AFIB",54579,218,0.00399421022737683
"[45,50)",1,"AFIB",51196,83,0.00162122040784436
"[50,55)",0,"AFIB",56368,452,0.00801873403349418
"[50,55)",1,"AFIB",53152,130,0.00244581577363034
"[55,60)",0,"AFIB",51650,674,0.0130493707647628
"[55,60)",1,"AFIB",47543,242,0.00509012893591065
"[60,65)",0,"AFIB",46185,1027,0.0222366569232435
"[60,65)",1,"AFIB",43308,472,0.0108986792278563
"[65,70)",0,"AFIB",42604,1630,0.0382593183738616
"[65,70)",1,"AFIB",40959,780,0.01904343367758
"[70,75)",0,"AFIB",36058,2155,0.0597648233401742
"[70,75)",1,"AFIB",37263,1343,0.0360411131685586
"[75,80)",0,"AFIB",28999,2557,0.0881754543260112
"[75,80)",1,"AFIB",31636,1947,0.0615438108484006
"[80,120]",0,"AFIB",42531,5505,0.129435000352684
"[80,120]",1,"AFIB",62998,6854,0.10879710466999
"[40,45)",0,"Anemia",55073,263,0.00477547981769651
"[40,45)",1,"Anemia",50353,1824,0.0362242567473636
"[45,50)",0,"Anemia",54579,344,0.00630279045053958
"[45,50)",1,"Anemia",51196,2070,0.0404328463161184
"[50,55)",0,"Anemia",56368,470,0.00833806414987227
"[50,55)",1,"Anemia",53152,1781,0.0335076760987357
"[55,60)",0,"Anemia",51650,611,0.0118296224588577
"[55,60)",1,"Anemia",47543,1003,0.0210966914161917
"[60,65)",0,"Anemia",46185,793,0.0171700768647829
"[60,65)",1,"Anemia",43308,917,0.0211739170592038
"[65,70)",0,"Anemia",42604,1093,0.0256548680875035
"[65,70)",1,"Anemia",40959,1204,0.029395248907444
"[70,75)",0,"Anemia",36058,1484,0.0411559154695213
"[70,75)",1,"Anemia",37263,1459,0.039154120709551
"[75,80)",0,"Anemia",28999,1738,0.0599331011414187
"[75,80)",1,"Anemia",31636,1791,0.0566127196864332
"[80,120]",0,"Anemia",42531,4139,0.0973172509463685
"[80,120]",1,"Anemia",62998,5261,0.0835105876377028
"[40,45)",0,"Anxiety",55073,1459,0.0264921104715559
"[40,45)",1,"Anxiety",50353,2408,0.0478223740392827
"[45,50)",0,"Anxiety",54579,1385,0.0253760603895271
"[45,50)",1,"Anxiety",51196,2306,0.0450425814516759
"[50,55)",0,"Anxiety",56368,1286,0.0228143627590122
"[50,55)",1,"Anxiety",53152,2232,0.041992775436484
"[55,60)",0,"Anxiety",51650,1012,0.019593417231365
"[55,60)",1,"Anxiety",47543,1724,0.0362619102707023
"[60,65)",0,"Anxiety",46185,805,0.0174299014831655
"[60,65)",1,"Anxiety",43308,1453,0.0335503833010067
"[65,70)",0,"Anxiety",42604,637,0.0149516477326073
"[65,70)",1,"Anxiety",40959,1265,0.030884543079665
"[70,75)",0,"Anxiety",36058,515,0.0142825447889511
"[70,75)",1,"Anxiety",37263,1090,0.0292515363765666
"[75,80)",0,"Anxiety",28999,447,0.0154143246318839
"[75,80)",1,"Anxiety",31636,950,0.0300290807940321
"[80,120]",0,"Anxiety",42531,588,0.0138252098469352
"[80,120]",1,"Anxiety",62998,1875,0.0297628496142735
"[40,45)",0,"Arthritis",55073,1464,0.026582899061246
"[40,45)",1,"Arthritis",50353,1000,0.019859789883423
"[45,50)",0,"Arthritis",54579,2267,0.0415361219516664
"[45,50)",1,"Arthritis",51196,1797,0.0351003984686304
"[50,55)",0,"Arthritis",56368,3303,0.0585970763553789
"[50,55)",1,"Arthritis",53152,3246,0.0610701384708007
"[55,60)",0,"Arthritis",51650,4170,0.0807357212003872
"[55,60)",1,"Arthritis",47543,4333,0.0911385482615737
"[60,65)",0,"Arthritis",46185,4939,0.106939482515968
"[60,65)",1,"Arthritis",43308,5320,0.122841045534312
"[65,70)",0,"Arthritis",42604,5472,0.128438644258755
"[65,70)",1,"Arthritis",40959,6024,0.147073903171464
"[70,75)",0,"Arthritis",36058,5510,0.152809362693438
"[70,75)",1,"Arthritis",37263,6670,0.178997933607063
"[75,80)",0,"Arthritis",28999,5176,0.178488913410807
"[75,80)",1,"Arthritis",31636,6601,0.208654697180427
"[80,120]",0,"Arthritis",42531,8106,0.190590392889892
"[80,120]",1,"Arthritis",62998,13282,0.210832089907616
"[40,45)",0,"CAD",55073,154,0.00279628856245347
"[40,45)",1,"CAD",50353,48,0.000953269914404306
"[45,50)",0,"CAD",54579,456,0.00835486176001759
"[45,50)",1,"CAD",51196,116,0.00226580201578248
"[50,55)",0,"CAD",56368,794,0.0140860062446778
"[50,55)",1,"CAD",53152,222,0.00417670078266105
"[55,60)",0,"CAD",51650,1165,0.0225556631171346
"[55,60)",1,"CAD",47543,366,0.00769829417579875
"[60,65)",0,"CAD",46185,1385,0.0299880913716575
"[60,65)",1,"CAD",43308,483,0.0111526738708784
"[65,70)",0,"CAD",42604,1718,0.0403248521265609
"[65,70)",1,"CAD",40959,683,0.016675211797163
"[70,75)",0,"CAD",36058,1649,0.0457318764213212
"[70,75)",1,"CAD",37263,887,0.0238037731798299
"[75,80)",0,"CAD",28999,1678,0.0578640642780786
"[75,80)",1,"CAD",31636,1039,0.032842331521052
"[80,120]",0,"CAD",42531,3207,0.0754038230937434
"[80,120]",1,"CAD",62998,3034,0.048160259055843
"[40,45)",0,"CVA",55073,87,0.00157972146060683
"[40,45)",1,"CVA",50353,80,0.00158878319067384
"[45,50)",0,"CVA",54579,174,0.00318803935579619
"[45,50)",1,"CVA",51196,127,0.00248066255176186
"[50,55)",0,"CVA",56368,301,0.00533990916832245
