"age_group","is_female","category","N","count","percent"
"[40,45)",0,"AFIB",5892,0,0
"[40,45)",1,"AFIB",7047,0,0
"[45,50)",0,"AFIB",11224,32,0.00285103349964362
"[45,50)",1,"AFIB",14464,0,0
"[50,55)",0,"AFIB",12609,57,0.00452058053771116
"[50,55)",1,"AFIB",17401,27,0.00155163496350784
"[55,60)",0,"AFIB",15274,108,0.00707083933481734
"[55,60)",1,"AFIB",20274,41,0.0020222945644668
"[60,65)",0,"AFIB",21605,291,0.0134691043739875
"[60,65)",1,"AFIB",27154,126,0.00464020033880828
"[65,70)",0,"AFIB",20753,422,0.0203344094829663
"[65,70)",1,"AFIB",22406,195,0.00870302597518522
"[70,75)",0,"AFIB",5461,160,0.0292986632484893
"[70,75)",1,"AFIB",5638,49,0.00869102518623625
"[40,45)",0,"Anemia",5892,37,0.00627970128988459
"[40,45)",1,"Anemia",7047,200,0.0283808712927487
"[45,50)",0,"Anemia",11224,68,0.00605844618674269
"[45,50)",1,"Anemia",14464,426,0.0294524336283186
"[50,55)",0,"Anemia",12609,137,0.010865254976604
"[50,55)",1,"Anemia",17401,466,0.0267800701109132
"[55,60)",0,"Anemia",15274,189,0.0123739688359303
"[55,60)",1,"Anemia",20274,335,0.0165236263194239
"[60,65)",0,"Anemia",21605,331,0.0153205276556353
"[60,65)",1,"Anemia",27154,401,0.0147676217131914
"[65,70)",0,"Anemia",20753,432,0.0208162675275864
"[65,70)",1,"Anemia",22406,435,0.0194144425600286
"[70,75)",0,"Anemia",5461,129,0.0236220472440945
"[70,75)",1,"Anemia",5638,123,0.0218162468960624
"[40,45)",0,"Anxiety",5892,38,0.00644942294636796
"[40,45)",1,"Anxiety",7047,86,0.0122037746558819
"[45,50)",0,"Anxiety",11224,75,0.00668210976478974
"[45,50)",1,"Anxiety",14464,157,0.0108545353982301
"[50,55)",0,"Anxiety",12609,97,0.00769291775715759
"[50,55)",1,"Anxiety",17401,193,0.0110913165910005
"[55,60)",0,"Anxiety",15274,89,0.00582689537776614
"[55,60)",1,"Anxiety",20274,186,0.00917431192660551
"[60,65)",0,"Anxiety",21605,134,0.00620226799352002
"[60,65)",1,"Anxiety",27154,238,0.00876482286219342
"[65,70)",0,"Anxiety",20753,86,0.00414397918373247
"[65,70)",1,"Anxiety",22406,172,0.00767651521913773
"[70,75)",0,"Anxiety",5461,23,0.00421168284197034
"[70,75)",1,"Anxiety",5638,53,0.00940049663001064
"[40,45)",0,"Arthritis",5892,175,0.0297012898845893
"[40,45)",1,"Arthritis",7047,133,0.0188732794096779
"[45,50)",0,"Arthritis",11224,477,0.0424982181040627
"[45,50)",1,"Arthritis",14464,402,0.0277931415929204
"[50,55)",0,"Arthritis",12609,744,0.0590054722817035
"[50,55)",1,"Arthritis",17401,920,0.0528705246824895
"[55,60)",0,"Arthritis",15274,1290,0.0844572476103182
"[55,60)",1,"Arthritis",20274,1738,0.0857255598303246
"[60,65)",0,"Arthritis",21605,2350,0.108771117796806
"[60,65)",1,"Arthritis",27154,3092,0.113869043234883
"[65,70)",0,"Arthritis",20753,2961,0.142678167011998
"[65,70)",1,"Arthritis",22406,3253,0.145184325627064
"[70,75)",0,"Arthritis",5461,879,0.160959531221388
"[70,75)",1,"Arthritis",5638,886,0.157147924796027
"[40,45)",0,"CAD",5892,27,0.00458248472505092
"[40,45)",1,"CAD",7047,0,0
"[45,50)",0,"CAD",11224,114,0.0101568068424804
"[45,50)",1,"CAD",14464,45,0.00311117256637168
"[50,55)",0,"CAD",12609,217,0.0172099294154969
"[50,55)",1,"CAD",17401,106,0.00609160393080857
"[55,60)",0,"CAD",15274,444,0.029069006154249
"[55,60)",1,"CAD",20274,215,0.0106047153990332
"[60,65)",0,"CAD",21605,1024,0.0473964360101828
"[60,65)",1,"CAD",27154,471,0.0173455107903071
"[65,70)",0,"CAD",20753,1477,0.0711704331903821
"[65,70)",1,"CAD",22406,651,0.0290547174863876
"[70,75)",0,"CAD",5461,444,0.0813037905145578
"[70,75)",1,"CAD",5638,247,0.0438098616530685
"[40,45)",0,"CVA",5892,22,0.00373387644263408
"[40,45)",1,"CVA",7047,0,0
"[45,50)",0,"CVA",11224,28,0.00249465431218817
"[45,50)",1,"CVA",14464,44,0.00304203539823009
"[50,55)",0,"CVA",12609,70,0.00555159013403125
"[50,55)",1,"CVA",17401,66,0.00379288546635251
"[55,60)",0,"CVA",15274,110,0.00720178080398062
"[55,60)",1,"CVA",20274,101,0.00498175002466213
"[60,65)",0,"CVA",21605,251,0.0116176810923397
"[60,65)",1,"CVA",27154,165,0.00607645282462989
"[65,70)",0,"CVA",20753,339,0.0163349877126199
"[65,70)",1,"CVA",22406,215,0.00959564402392216
"[70,75)",0,"CVA",5461,112,0.0205090642739425
"[70,75)",1,"CVA",5638,90,0.0159631074849237
"[40,45)",0,"Cancer",5892,60,0.010183299389002
"[40,45)",1,"Cancer",7047,66,0.00936568752660707
"[45,50)",0,"Cancer",11224,108,0.00962223806129722
"[45,50)",1,"Cancer",14464,200,0.0138274336283186
"[50,55)",0,"Cancer",12609,228,0.0180823221508446
"[50,55)",1,"Cancer",17401,322,0.0185046836388713
"[55,60)",0,"Cancer",15274,361,0.0236349351839728
"[55,60)",1,"Cancer",20274,438,0.0216040248594259
"[60,65)",0,"Cancer",21605,851,0.0393890303170562
"[60,65)",1,"Cancer",27154,828,0.0304927450835973
"[65,70)",0,"Cancer",20753,1190,0.0573411073097865
"[65,70)",1,"Cancer",22406,867,0.0386949924127466
"[70,75)",0,"Cancer",5461,394,0.0721479582494049
"[70,75)",1,"Cancer",5638,232,0.0411493437389145
"[40,45)",0,"Chronpain",5892,243,0.0412423625254583
"[40,45)",1,"Chronpain",7047,306,0.0434227330779055
"[45,50)",0,"Chronpain",11224,430,0.0383107626514612
"[45,50)",1,"Chronpain",14464,611,0.0422428097345133
"[50,55)",0,"Chronpain",12609,448,0.0355301768578
"[50,55)",1,"Chronpain",17401,737,0.042353887707603
"[55,60)",0,"Chronpain",15274,517,0.0338483697787089
"[55,60)",1,"Chronpain",20274,860,0.042418861596133
"[60,65)",0,"Chronpain",21605,773,0.0357787549178431
"[60,65)",1,"Chronpain",27154,1196,0.0440450762318627
"[65,70)",0,"Chronpain",20753,724,0.034886522430492
"[65,70)",1,"Chronpain",22406,971,0.0433366062661787
"[70,75)",0,"Chronpain",5461,176,0.0322285295733382
"[70,75)",1,"Chronpain",5638,258,0.045760908123448
"[40,45)",0,"Dementia",5892,34,0.00577053632043449
"[40,45)",1,"Dementia",7047,0,0
"[45,50)",0,"Dementia",11224,68,0.00605844618674269
"[45,50)",1,"Dementia",14464,43,0.0029728982300885
"[50,55)",0,"Dementia",12609,80,0.00634467443889285
"[50,55)",1,"Dementia",17401,68,0.00390782138957531
"[55,60)",0,"Dementia",15274,92,0.00602330758151106
"[55,60)",1,"Dementia",20274,77,0.003797967840584
"[60,65)",0,"Dementia",21605,135,0.00624855357556121
"[60,65)",1,"Dementia",27154,124,0.0045665463651764
"[65,70)",0,"Dementia",20753,164,0.0079024719317689
"[65,70)",1,"Dementia",22406,118,0.00526644648754798
"[70,75)",0,"Dementia",5461,60,0.0109869987181835
"[70,75)",1,"Dementia",5638,35,0.0062078751330259
"[40,45)",0,"Depress",5892,190,0.0322471147318398
"[40,45)",1,"Depress",7047,420,0.0595998297147722
"[45,50)",0,"Depress",11224,352,0.0313613684960798
"[45,50)",1,"Depress",14464,778,0.0537887168141593
"[50,55)",0,"Depress",12609,404,0.0320406059164089
"[50,55)",1,"Depress",17401,865,0.0497097867938624
"[55,60)",0,"Depress",15274,461,0.030182008642137
"[55,60)",1,"Depress",20274,880,0.0434053467495314
"[60,65)",0,"Depress",21605,547,0.0253182133765332
"[60,65)",1,"Depress",27154,942,0.0346910215806143
"[65,70)",0,"Depress",20753,407,0.0196116224160362
"[65,70)",1,"Depress",22406,602,0.0268678032669821
"[70,75)",0,"Depress",5461,88,0.0161142647866691
"[70,75)",1,"Depress",5638,156,0.0276693863072011
"[40,45)",0,"Diabetes",5892,111,0.0188391038696538
"[40,45)",1,"Diabetes",7047,72,0.0102171136653895
"[45,50)",0,"Diabetes",11224,302,0.0269066286528867
