"age_group","is_female","N","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,55073,383,9,54681,0.00695440597025766,0.000163419461442086,0.9928821745683
"[40,45)",1,50353,746,16,49591,0.0148154032530336,0.000317756638134769,0.984866840108832
"[45,50)",0,54579,847,27,53705,0.0155187892779274,0.000494695762106305,0.983986514959966
"[45,50)",1,51196,1396,47,49753,0.0272677552933823,0.000918040471911868,0.971814204234706
"[50,55)",0,56368,1502,80,54786,0.0266463241555492,0.00141924496168039,0.97193443088277
"[50,55)",1,53152,2104,103,50945,0.0395845875978326,0.00193783865141481,0.958477573750753
"[55,60)",0,51650,2506,153,48991,0.0485188770571152,0.0029622458857696,0.948518877057115
"[55,60)",1,47543,2694,177,44672,0.0566644931956334,0.00372294554403382,0.939612561260333
"[60,65)",0,46185,3744,354,42087,0.0810652809353686,0.00766482624228646,0.911269892822345
"[60,65)",1,43308,3709,308,39291,0.0856423755426249,0.00711185000461808,0.907245774452757
"[65,70)",0,42604,5387,626,36591,0.126443526429443,0.0146934560135199,0.858863017557037
"[65,70)",1,40959,5076,566,35317,0.123928806855636,0.013818696745526,0.862252496398838
"[70,75)",0,36058,6918,1128,28012,0.191857562815464,0.0312829330523046,0.776859504132231
"[70,75)",1,37263,6675,1053,29535,0.179132114966589,0.0282585943160776,0.792609290717334
"[75,80)",0,28999,7979,1816,19204,0.275147418876513,0.0626228490637608,0.662229732059726
"[75,80)",1,31636,8501,1768,21367,0.268712858768492,0.0558856998356303,0.675401441395878
"[80,120]",0,42531,16416,5665,20450,0.385977287155251,0.133196962215796,0.480825750628953
"[80,120]",1,62998,24493,8605,29900,0.38879012032128,0.136591637829772,0.474618241848948
