"age_group","is_female","category","N","count","percent"
"[40,45)",0,"Activity limitation",169306,56,0.000330762052142275
"[40,45)",1,"Activity limitation",183841,87,0.000473235023743343
"[45,50)",0,"Activity limitation",187752,101,0.000537943670373684
"[45,50)",1,"Activity limitation",202984,141,0.000694636030426043
"[50,55)",0,"Activity limitation",191734,169,0.000881429480426007
"[50,55)",1,"Activity limitation",203977,218,0.00106874794707246
"[55,60)",0,"Activity limitation",176579,262,0.00148375514642171
"[55,60)",1,"Activity limitation",182586,311,0.00170330693481428
"[60,65)",0,"Activity limitation",166370,437,0.0026266754823586
"[60,65)",1,"Activity limitation",170565,352,0.00206372937003488
"[65,70)",0,"Activity limitation",162410,553,0.00340496274859922
"[65,70)",1,"Activity limitation",166487,557,0.00334560656387586
"[70,75)",0,"Activity limitation",131495,691,0.00525495265979695
"[70,75)",1,"Activity limitation",140385,624,0.00444491932898814
"[75,80)",0,"Activity limitation",104234,806,0.00773260164629583
"[75,80)",1,"Activity limitation",119257,736,0.00617154548579958
"[80,120]",0,"Activity limitation",147957,1469,0.00992856032495928
"[80,120]",1,"Activity limitation",228084,1758,0.00770768664176356
"[40,45)",0,"Anaemia and haematinic deficiency",169306,2193,0.0129528782205002
"[40,45)",1,"Anaemia and haematinic deficiency",183841,9054,0.0492490793674969
"[45,50)",0,"Anaemia and haematinic deficiency",187752,3442,0.0183326941923388
"[45,50)",1,"Anaemia and haematinic deficiency",202984,10225,0.0503734284475624
"[50,55)",0,"Anaemia and haematinic deficiency",191734,4862,0.025358048129179
"[50,55)",1,"Anaemia and haematinic deficiency",203977,8816,0.0432205591806919
"[55,60)",0,"Anaemia and haematinic deficiency",176579,6813,0.0385832969945464
"[55,60)",1,"Anaemia and haematinic deficiency",182586,6201,0.0339620781439979
"[60,65)",0,"Anaemia and haematinic deficiency",166370,9482,0.0569934483380417
"[60,65)",1,"Anaemia and haematinic deficiency",170565,6891,0.04040102013895
"[65,70)",0,"Anaemia and haematinic deficiency",162410,13421,0.0826365371590419
"[65,70)",1,"Anaemia and haematinic deficiency",166487,9061,0.054424669794038
"[70,75)",0,"Anaemia and haematinic deficiency",131495,16785,0.127647439066124
"[70,75)",1,"Anaemia and haematinic deficiency",140385,11059,0.0787762225308972
"[75,80)",0,"Anaemia and haematinic deficiency",104234,20431,0.196010898555174
"[75,80)",1,"Anaemia and haematinic deficiency",119257,14200,0.119070578666242
"[80,120]",0,"Anaemia and haematinic deficiency",147957,47710,0.322458552146908
"[80,120]",1,"Anaemia and haematinic deficiency",228084,43573,0.191039266235247
"[40,45)",0,"Arthritis",169306,2450,0.0144708397812245
"[40,45)",1,"Arthritis",183841,1345,0.00731610467741146
"[45,50)",0,"Arthritis",187752,3703,0.0197228258553837
"[45,50)",1,"Arthritis",202984,2631,0.0129616127379498
"[50,55)",0,"Arthritis",191734,5177,0.0270009492317482
"[50,55)",1,"Arthritis",203977,4386,0.021502424292935
"[55,60)",0,"Arthritis",176579,6192,0.035066457506272
"[55,60)",1,"Arthritis",182586,5920,0.0324230773443747
"[60,65)",0,"Arthritis",166370,7064,0.0424595780489271
"[60,65)",1,"Arthritis",170565,7195,0.0421833318676164
"[65,70)",0,"Arthritis",162410,7891,0.0485869096730497
"[65,70)",1,"Arthritis",166487,8170,0.0490729005868326
