"age_group","is_female","category","N","count","percent"
"[40,45)",0,"Activity limitation",55073,27,0.000490258384326258
"[40,45)",1,"Activity limitation",50353,28,0.000556074116735845
"[45,50)",0,"Activity limitation",54579,44,0.000806170871580645
"[45,50)",1,"Activity limitation",51196,40,0.000781311039924994
"[50,55)",0,"Activity limitation",56368,51,0.000904768663071246
"[50,55)",1,"Activity limitation",53152,58,0.00109121011438892
"[55,60)",0,"Activity limitation",51650,90,0.00174249757986447
"[55,60)",1,"Activity limitation",47543,68,0.0014302841638096
"[60,65)",0,"Activity limitation",46185,118,0.00255494208076215
"[60,65)",1,"Activity limitation",43308,95,0.00219359009882701
"[65,70)",0,"Activity limitation",42604,163,0.00382593183738616
"[65,70)",1,"Activity limitation",40959,125,0.003051832320125
"[70,75)",0,"Activity limitation",36058,175,0.00485329191857563
"[70,75)",1,"Activity limitation",37263,153,0.00410594960148136
"[75,80)",0,"Activity limitation",28999,193,0.0066554019104107
"[75,80)",1,"Activity limitation",31636,168,0.0053104058667341
"[80,120]",0,"Activity limitation",42531,367,0.00862900002351226
"[80,120]",1,"Activity limitation",62998,462,0.00733356614495698
"[40,45)",0,"Anaemia and haematinic deficiency",55073,1489,0.0270368420096962
"[40,45)",1,"Anaemia and haematinic deficiency",50353,6167,0.12247532421107
"[45,50)",0,"Anaemia and haematinic deficiency",54579,2051,0.037578555854816
"[45,50)",1,"Anaemia and haematinic deficiency",51196,6154,0.12020470349246
"[50,55)",0,"Anaemia and haematinic deficiency",56368,2800,0.0496735736588135
"[50,55)",1,"Anaemia and haematinic deficiency",53152,5521,0.103871914509332
"[55,60)",0,"Anaemia and haematinic deficiency",51650,3715,0.0719264278799613
"[55,60)",1,"Anaemia and haematinic deficiency",47543,3779,0.0794859390446543
"[60,65)",0,"Anaemia and haematinic deficiency",46185,4634,0.100335606798744
"[60,65)",1,"Anaemia and haematinic deficiency",43308,3722,0.0859425510298328
"[65,70)",0,"Anaemia and haematinic deficiency",42604,5991,0.140620599004788
"[65,70)",1,"Anaemia and haematinic deficiency",40959,4412,0.107717473571132
"[70,75)",0,"Anaemia and haematinic deficiency",36058,7456,0.206777968827999
"[70,75)",1,"Anaemia and haematinic deficiency",37263,5341,0.143332528245176
"[75,80)",0,"Anaemia and haematinic deficiency",28999,8662,0.298699955170868
"[75,80)",1,"Anaemia and haematinic deficiency",31636,6230,0.19692755089139
"[80,120]",0,"Anaemia and haematinic deficiency",42531,19922,0.468411276480685
"[80,120]",1,"Anaemia and haematinic deficiency",62998,19882,0.315597320549859
"[40,45)",0,"Arthritis",55073,1561,0.0283441977012329
"[40,45)",1,"Arthritis",50353,1044,0.0207336206382936
"[45,50)",0,"Arthritis",54579,2377,0.043551549130618
"[45,50)",1,"Arthritis",51196,1886,0.0368388155324635
"[50,55)",0,"Arthritis",56368,3416,0.0606017598637525
"[50,55)",1,"Arthritis",53152,3425,0.0644378386514148
"[55,60)",0,"Arthritis",51650,4385,0.0848983543078412
"[55,60)",1,"Arthritis",47543,4561,0.0959342069284648
"[60,65)",0,"Arthritis",46185,5164,0.111811194110642
"[60,65)",1,"Arthritis",43308,5584,0.128936916966842
"[65,70)",0,"Arthritis",42604,5734,0.134588301567928
"[65,70)",1,"Arthritis",40959,6297,0.153739104958617
"[70,75)",0,"Arthritis",36058,5750,0.159465305896056
"[70,75)",1,"Arthritis",37263,6904,0.185277621232858
"[75,80)",0,"Arthritis",28999,5300,0.182764922928377
"[75,80)",1,"Arthritis",31636,6718,0.212353015551903
"[80,120]",0,"Arthritis",42531,8285,0.194799087724248
"[80,120]",1,"Arthritis",62998,13570,0.215403663608369
"[40,45)",0,"Atrial fibrillation",55073,145,0.00263286910101138
"[40,45)",1,"Atrial fibrillation",50353,61,0.00121144718288881
"[45,50)",0,"Atrial fibrillation",54579,272,0.00498360175158944
"[45,50)",1,"Atrial fibrillation",51196,117,0.00228533479178061
"[50,55)",0,"Atrial fibrillation",56368,591,0.0104846721544139
"[50,55)",1,"Atrial fibrillation",53152,191,0.00359346779048766
"[55,60)",0,"Atrial fibrillation",51650,888,0.0171926427879961
"[55,60)",1,"Atrial fibrillation",47543,336,0.00706728645647098
"[60,65)",0,"Atrial fibrillation",46185,1366,0.0295767023925517
"[60,65)",1,"Atrial fibrillation",43308,600,0.0138542532557495
"[65,70)",0,"Atrial fibrillation",42604,2202,0.0516852877664069
"[65,70)",1,"Atrial fibrillation",40959,992,0.024219341292512
"[70,75)",0,"Atrial fibrillation",36058,2869,0.0795662543679627
"[70,75)",1,"Atrial fibrillation",37263,1679,0.0450581005286746
"[75,80)",0,"Atrial fibrillation",28999,3432,0.118348908583055
"[75,80)",1,"Atrial fibrillation",31636,2413,0.0762738652168416
"[80,120]",0,"Atrial fibrillation",42531,7319,0.172086242975712
"[80,120]",1,"Atrial fibrillation",62998,8773,0.139258389155211
"[40,45)",0,"Cerebrovascular disease",55073,202,0.00366785902347793
"[40,45)",1,"Cerebrovascular disease",50353,197,0.00391237860703434
"[45,50)",0,"Cerebrovascular disease",54579,372,0.00681580827790909
"[45,50)",1,"Cerebrovascular disease",51196,291,0.00568403781545433
"[50,55)",0,"Cerebrovascular disease",56368,624,0.011070110701107
"[50,55)",1,"Cerebrovascular disease",53152,518,0.00974563515954244
"[55,60)",0,"Cerebrovascular disease",51650,969,0.0187608906098742
"[55,60)",1,"Cerebrovascular disease",47543,667,0.0140294049597207
"[60,65)",0,"Cerebrovascular disease",46185,1275,0.0276063657031504
"[60,65)",1,"Cerebrovascular disease",43308,842,0.0194421354022352
"[65,70)",0,"Cerebrovascular disease",42604,1713,0.0402074922542484
"[65,70)",1,"Cerebrovascular disease",40959,1187,0.028980199711907
"[70,75)",0,"Cerebrovascular disease",36058,2099,0.05821176992623
"[70,75)",1,"Cerebrovascular disease",37263,1506,0.0404154254890911
"[75,80)",0,"Cerebrovascular disease",28999,2412,0.0831752819062726
"[75,80)",1,"Cerebrovascular disease",31636,2010,0.0635352130484258
"[80,120]",0,"Cerebrovascular disease",42531,5150,0.121088147468905
"[80,120]",1,"Cerebrovascular disease",62998,6731,0.106844661735293
"[40,45)",0,"Chronic kidney disease",55073,2948,0.0535289524812522
"[40,45)",1,"Chronic kidney disease",50353,3398,0.0674835660238715
"[45,50)",0,"Chronic kidney disease",54579,3854,0.0706132395243592
"[45,50)",1,"Chronic kidney disease",51196,3996,0.0780529728885069
"[50,55)",0,"Chronic kidney disease",56368,5008,0.0888447346011922
"[50,55)",1,"Chronic kidney disease",53152,4729,0.0889712522576761
"[55,60)",0,"Chronic kidney disease",51650,5740,0.111132623426912
"[55,60)",1,"Chronic kidney disease",47543,5081,0.106871674063479
"[60,65)",0,"Chronic kidney disease",46185,6311,0.136646097217711
"[60,65)",1,"Chronic kidney disease",43308,5582,0.128890736122656
"[65,70)",0,"Chronic kidney disease",42604,7331,0.172073044784527
"[65,70)",1,"Chronic kidney disease",40959,6483,0.158280231450963
"[70,75)",0,"Chronic kidney disease",36058,7875,0.218398136335903
"[70,75)",1,"Chronic kidney disease",37263,7533,0.202157636261171
"[75,80)",0,"Chronic kidney disease",28999,8202,0.282837339218594
"[75,80)",1,"Chronic kidney disease",31636,8506,0.268870906562144
"[80,120]",0,"Chronic kidney disease",42531,16007,0.376360772142672
"[80,120]",1,"Chronic kidney disease",62998,22699,0.360313025810343
"[40,45)",0,"Diabetes",55073,2302,0.041799066693298
"[40,45)",1,"Diabetes",50353,1640,0.0325700554088138
"[45,50)",0,"Diabetes",54579,3715,0.0680664724527749
"[45,50)",1,"Diabetes",51196,2494,0.0487147433393234
"[50,55)",0,"Diabetes",56368,5299,0.0940072381493046
"[50,55)",1,"Diabetes",53152,3531,0.066432119205298
"[55,60)",0,"Diabetes",51650,6586,0.127512100677638
"[55,60)",1,"Diabetes",47543,4337,0.0912226826241508
"[60,65)",0,"Diabetes",46185,7245,0.15686911334849
"[60,65)",1,"Diabetes",43308,4757,0.109841137896001
"[65,70)",0,"Diabetes",42604,7690,0.180499483616562
"[65,70)",1,"Diabetes",40959,5194,0.126809736565834
