"age_group","is_female","N","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[60,65)",1,18803,3593,1193,14017,0.191086528745413,0.0634473222358134,0.745466149018774
"[45,50)",1,13729,1610,418,11701,0.117270012382548,0.0304465001092578,0.852283487508194
"[70,75)",1,14077,3539,1394,9144,0.251402997797826,0.0990267812744193,0.649570220927755
"[50,55)",0,9542,1170,402,7970,0.122615803814714,0.0421295325927479,0.835254663592538
"[55,60)",0,12063,1751,614,9698,0.145154604990467,0.050899444582608,0.803945950426925
"[60,65)",0,12801,2263,854,9684,0.176783063823139,0.0667135380048434,0.756503398172018
"[70,75)",0,11053,2777,1042,7234,0.251244006152176,0.0942730480412558,0.654482945806568
"[75,80)",0,7352,2049,876,4427,0.278699673558215,0.119151251360174,0.60214907508161
"[80,100]",0,5447,1561,968,2918,0.286579768680007,0.177712502294841,0.535707729025152
"[45,50)",0,7521,756,249,6516,0.100518548065417,0.0331072995612286,0.866374152373355
"[55,60)",1,19021,3080,1009,14932,0.16192629199306,0.0530466326691551,0.785027075337785
"[65,70)",1,17867,3774,1389,12704,0.211227402473834,0.0777410869200201,0.711031510606145
"[50,55)",1,16444,2282,676,13486,0.138774020919484,0.0411092191680856,0.82011675991243
"[75,80)",1,8225,2241,1023,4961,0.272462006079027,0.124376899696049,0.603161094224924
"[40,45)",1,13069,1151,248,11670,0.0880710077282118,0.0189762032290152,0.892952789042773
"[80,100]",1,5778,1770,1086,2922,0.306334371754932,0.187954309449637,0.505711318795431
"[65,70)",0,12266,2591,1010,8665,0.211234306212294,0.0823414315995434,0.706424262188162
"[40,45)",0,6510,433,120,5957,0.0665130568356375,0.0184331797235023,0.91505376344086
