"age_group","is_female","N","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[55,60)",1,19021,3985,3583,11453,0.209505283633878,0.188370748120498,0.602123968245623
"[40,45)",0,6510,874,481,5155,0.134254992319508,0.0738863287250384,0.791858678955453
"[65,70)",1,17867,4215,4346,9306,0.235909777802653,0.243241730564728,0.520848491632619
"[80,100]",1,5778,1301,2401,2076,0.225164416753202,0.415541709934233,0.359293873312565
"[75,80)",1,8225,1996,2711,3518,0.242674772036474,0.329604863221884,0.427720364741641
"[40,45)",1,13069,2216,1272,9581,0.169561557885072,0.0973295584972071,0.733108883617721
"[65,70)",0,12266,2845,2780,6641,0.231941953367031,0.226642752323496,0.541415294309473
"[50,55)",1,16444,3361,2721,10362,0.204390659207006,0.165470688396984,0.630138652396011
"[70,75)",0,11053,2822,2903,5328,0.255315299013842,0.262643626164842,0.482041074821315
"[80,100]",0,5447,1379,2069,1999,0.253166880851845,0.379842114925647,0.366991004222508
"[55,60)",0,12063,2232,2005,7826,0.185028599850783,0.166210727016497,0.64876067313272
"[70,75)",1,14077,3471,4129,6477,0.246572423101513,0.293315337074661,0.460112239823826
"[75,80)",0,7352,2005,2232,3115,0.272714907508161,0.303590859630033,0.423694232861806
"[50,55)",0,9542,1613,1328,6601,0.169042129532593,0.139174177321316,0.691783693146091
"[60,65)",0,12801,2665,2530,7606,0.208186860401531,0.197640809311773,0.594172330286696
"[45,50)",0,7521,1175,877,5469,0.156229224837123,0.11660683419758,0.727163940965297
"[60,65)",1,18803,4082,4093,10628,0.217093017071744,0.21767803010158,0.565228952826677
"[45,50)",1,13729,2379,1917,9433,0.173282831961541,0.139631437103941,0.687085730934518
