"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,56050,177,5,55868,0.00315789473684211,0.0000892060660124889,0.996752899197145
"[40,45)",1,51159,376,7,50776,0.00734963545026291,0.000136828319552767,0.992513536230184
"[45,50)",0,56112,315,2,55795,0.00561377245508982,0.000035642999714856,0.994350584545195
"[45,50)",1,51796,648,14,51134,0.0125106185805854,0.000270291142173141,0.987219090277242
"[50,55)",0,56983,625,20,56338,0.0109681834933226,0.000350981871786322,0.988680834634891
"[50,55)",1,53701,999,37,52665,0.0186030055306233,0.000689000204837899,0.980707994264539
"[55,60)",0,52084,956,32,51096,0.0183549650564473,0.000614392135780662,0.981030642807772
"[55,60)",1,48163,1290,63,46810,0.0267840458443203,0.00130805805286216,0.971907896102817
"[60,65)",0,46881,1385,62,45434,0.029542885177364,0.00132249738700113,0.969134617435635
"[60,65)",1,43894,1641,82,42171,0.0373855196610015,0.00186813687519934,0.960746343463799
"[65,70)",0,43151,2025,132,40994,0.0469282287780121,0.00305902528330746,0.95001274593868
"[65,70)",1,41309,2162,148,38999,0.0523372630661599,0.00358275436345591,0.944079982570384
"[70,75)",0,36252,2684,192,33376,0.0740372944940969,0.00529625951671632,0.920666445989187
"[70,75)",1,37439,3008,288,34143,0.0803440262827533,0.0076925131547317,0.911963460562515
"[75,80)",0,29396,3434,360,25602,0.116818614777521,0.0122465641583889,0.87093482106409
"[75,80)",1,31970,4136,397,27437,0.129371285580231,0.0124178917735377,0.858210822646231
"[80,120]",0,43290,8115,1056,34119,0.187456687456687,0.0243936243936244,0.788149688149688
"[80,120]",1,64298,12953,1848,49497,0.201452611278733,0.0287411739089863,0.76980621481228
