"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,172657,787,14,171856,0.00455817024505233,0.0000810856206235484,0.995360744134324
"[40,45)",1,187171,1817,43,185311,0.00970770044504758,0.000229736444214114,0.990062563110738
"[45,50)",0,191151,1592,40,189519,0.00832849422707702,0.000209258648921533,0.991462247124001
"[45,50)",1,206166,3096,68,203002,0.0150170251156835,0.000329831300990464,0.984653143583326
"[50,55)",0,194439,3004,80,191355,0.0154495754452553,0.00041144009175114,0.984138984462994
"[50,55)",1,206433,4776,146,201511,0.0231358358402,0.000707251263121691,0.976156912896678
"[55,60)",0,179077,5108,192,173777,0.0285240427302222,0.00107216448790185,0.970403792781876
"[55,60)",1,184234,6411,269,177554,0.0347981371516658,0.00146009965587242,0.963741763192462
"[60,65)",0,168738,8204,377,160157,0.0486197537010039,0.00223423295286183,0.949146013346134
"[60,65)",1,172121,9189,435,162497,0.0533868615683153,0.0025272918470146,0.94408584658467
"[65,70)",0,164562,13048,738,150776,0.0792892648363535,0.00448463193203777,0.916226103231609
"[65,70)",1,168324,13467,836,154021,0.0800064161973337,0.00496661201017086,0.915026971792495
"[70,75)",0,133029,16882,1342,114805,0.12690465988619,0.0100880259191605,0.863007314194649
"[70,75)",1,142086,17976,1506,122604,0.126514927579072,0.0105992145601959,0.862885857860732
"[75,80)",0,105382,20721,2405,82256,0.196627507543983,0.0228217342620182,0.780550758193999
"[75,80)",1,120407,24078,2755,93574,0.199971762439061,0.022880729525692,0.777147508035247
"[80,120]",0,151396,46116,7137,98143,0.304605141483262,0.0471412718962192,0.648253586620518
"[80,120]",1,233184,74859,10967,147358,0.321029744750926,0.0470315287498285,0.631938726499245
