"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,6031,68,1,5962,0.0112750787597413,0.000165809981760902,0.988559111258498
"[40,45)",1,7159,130,6,7023,0.0181589607487079,0.000838105880709596,0.981002933370583
"[45,50)",0,11440,225,10,11205,0.0196678321678322,0.000874125874125874,0.979458041958042
"[45,50)",1,14635,363,11,14261,0.0248035531260676,0.00075162282200205,0.97444482405193
"[50,55)",0,12800,417,22,12361,0.032578125,0.00171875,0.965703125
"[50,55)",1,17563,713,27,16823,0.0405967089904914,0.0015373227808461,0.957865968228663
"[55,60)",0,15449,811,55,14583,0.0524953071396207,0.00356010097740954,0.94394459188297
"[55,60)",1,20464,1139,60,19265,0.0556587177482408,0.00293197810789679,0.941409304143862
"[60,65)",0,21827,1872,125,19830,0.0857653365098273,0.00572685206395748,0.908507811426215
"[60,65)",1,27399,2040,125,25234,0.0744552720902223,0.00456221029964597,0.920982517610132
"[65,70)",0,20991,2663,236,18092,0.126863894049831,0.0112429136296508,0.861893192320518
"[65,70)",1,22599,2506,188,19905,0.110889862383291,0.00831895216602505,0.880791185450684
"[70,75)",0,5525,869,73,4583,0.157285067873303,0.0132126696832579,0.829502262443439
"[70,75)",1,5684,829,60,4795,0.145847994370162,0.0105559465165376,0.8435960591133
