"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,56050,417,11,55622,0.00743978590544157,0.000196253345227475,0.992363960749331
"[40,45)",1,51159,770,29,50360,0.0150511151508044,0.00056686018100432,0.984382024668191
"[45,50)",0,56112,825,29,55258,0.0147027373823781,0.000516823495865412,0.984780439121757
"[45,50)",1,51796,1258,50,50488,0.0242875897752722,0.000965325507761217,0.974747084716967
"[50,55)",0,56983,1534,81,55368,0.0269203095660109,0.00142147658073461,0.971658213853254
"[50,55)",1,53701,2100,106,51495,0.0391054170313402,0.00197389247872479,0.958920690489935
"[55,60)",0,52084,2437,160,49487,0.046789801090546,0.00307196067890331,0.950138238230551
"[55,60)",1,48163,2779,173,45211,0.0576998941095862,0.00359196893881195,0.938708136951602
"[60,65)",0,46881,3737,329,42815,0.0797124634713423,0.00701776839231245,0.913269768136345
"[60,65)",1,43894,3841,296,39757,0.087506265093179,0.00674351847632934,0.905750216430492
"[65,70)",0,43151,5426,663,37062,0.125744478691108,0.0153646497184306,0.858890871590461
"[65,70)",1,41309,5154,600,35555,0.124766999927377,0.0145246798518483,0.860708320220775
"[70,75)",0,36252,6979,1149,28124,0.192513516495642,0.0316948030453492,0.775791680459009
"[70,75)",1,37439,6786,1069,29584,0.181254841208366,0.0285531130639173,0.790192045727717
"[75,80)",0,29396,8063,1780,19553,0.274289018914138,0.0605524561164784,0.665158524969384
"[75,80)",1,31970,8479,1780,21711,0.265217391304348,0.0556771973725368,0.679105411323115
"[80,120]",0,43290,16472,5840,20978,0.380503580503581,0.134904134904135,0.484592284592285
"[80,120]",1,64298,24870,8718,30710,0.386792746275156,0.13558742107064,0.477619832654204
