"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,6031,68,1,5962,0.0112750787597413,0.000165809981760902,0.988559111258498
"[40,45)",1,7159,130,6,7023,0.0181589607487079,0.000838105880709596,0.981002933370583
"[45,50)",0,11440,225,10,11205,0.0196678321678322,0.000874125874125874,0.979458041958042
"[45,50)",1,14635,363,11,14261,0.0248035531260676,0.00075162282200205,0.97444482405193
"[50,55)",0,12800,418,22,12360,0.03265625,0.00171875,0.965625
"[50,55)",1,17563,714,27,16822,0.0406536468712635,0.0015373227808461,0.95780903034789
"[55,60)",0,15449,812,55,14582,0.0525600362483009,0.00356010097740954,0.94387986277429
"[55,60)",1,20464,1139,60,19265,0.0556587177482408,0.00293197810789679,0.941409304143862
"[60,65)",0,21827,1875,125,19827,0.0859027809593623,0.00572685206395748,0.90837036697668
"[60,65)",1,27399,2045,125,25229,0.0746377605022081,0.00456221029964597,0.920800029198146
"[65,70)",0,20991,2666,236,18089,0.127006812443428,0.0112429136296508,0.861750273926921
"[65,70)",1,22599,2509,188,19902,0.111022611619983,0.00831895216602505,0.880658436213992
"[70,75)",0,5525,869,74,4582,0.157285067873303,0.013393665158371,0.829321266968326
"[70,75)",1,5684,829,60,4795,0.145847994370162,0.0105559465165376,0.8435960591133
