"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,56050,118,2,55930,0.00210526315789474,0.0000356824264049955,0.9978590544157
"[40,45)",1,51159,211,5,50943,0.00412439648937626,0.000097734513966262,0.995777868996657
"[45,50)",0,56112,278,4,55830,0.00495437696036498,0.000071285999429712,0.994974337040205
"[45,50)",1,51796,389,2,51405,0.00751023245038227,0.0000386130203104487,0.992451154529307
"[50,55)",0,56983,585,18,56380,0.0102662197497499,0.00031588368460769,0.989417896565642
"[50,55)",1,53701,676,13,53012,0.01258821995866,0.000242081153051154,0.987169698888289
"[55,60)",0,52084,943,28,51113,0.0181053682512864,0.000537593118808079,0.981357038629906
"[55,60)",1,48163,956,26,47181,0.0198492618815273,0.000539833482133588,0.979610904636339
"[60,65)",0,46881,1657,62,45162,0.035344809197756,0.00132249738700113,0.963332693415243
"[60,65)",1,43894,1522,38,42334,0.034674442976261,0.000865721966555793,0.964459835057183
"[65,70)",0,43151,2620,113,40418,0.0607170169868601,0.0026187110379829,0.936664271975157
"[65,70)",1,41309,2279,107,38923,0.0551695756372703,0.00259023457357961,0.94224018978915
"[70,75)",0,36252,3654,244,32354,0.100794438927507,0.00673066313582699,0.892474897936666
"[70,75)",1,37439,3382,206,33851,0.0903336093378563,0.00550228371484281,0.904164106947301
"[75,80)",0,29396,4675,453,24268,0.159035242890189,0.015410259899306,0.825554497210505
"[75,80)",1,31970,4598,397,26975,0.143822333437598,0.0124178917735377,0.843759774788865
"[80,120]",0,43290,10992,1488,30810,0.253915453915454,0.0343728343728344,0.711711711711712
"[80,120]",1,64298,15514,2005,46779,0.241282777069271,0.0311829294845874,0.727534293446141
