age_group,is_female,category,N,count,percent
"[40,45)",0,AFIB,5126,62,0.012095200936402654
"[40,45)",1,AFIB,10340,60,0.005802707930367505
"[45,50)",0,AFIB,7521,146,0.01941231219252759
"[45,50)",1,AFIB,13729,119,0.008667783523927454
"[50,55)",0,AFIB,9542,244,0.025571159086145462
"[50,55)",1,AFIB,16444,187,0.011371928971053272
"[55,60)",0,AFIB,12063,432,0.035811987067893555
"[55,60)",1,AFIB,19021,318,0.016718363913569213
"[60,65)",0,AFIB,12801,636,0.04968361846730724
"[60,65)",1,AFIB,18803,468,0.02488964526937191
"[65,70)",0,AFIB,12266,890,0.07255829121147889
"[65,70)",1,AFIB,17867,705,0.03945821906307718
"[70,75)",0,AFIB,11053,1084,0.09807292137881118
"[70,75)",1,AFIB,14077,823,0.05846416139802515
"[75,80)",0,AFIB,7352,991,0.13479325353645266
"[75,80)",1,AFIB,8225,728,0.08851063829787234
"[80,100)",0,AFIB,5444,1026,0.1884643644379133
"[80,100)",1,AFIB,5775,826,0.14303030303030304
"[40,45)",0,Anemia,5126,299,0.05833008193523215
"[40,45)",1,Anemia,10340,1025,0.09912959381044488
"[45,50)",0,Anemia,7521,563,0.07485706687940434
"[45,50)",1,Anemia,13729,1449,0.1055430111442931
"[50,55)",0,Anemia,9542,732,0.07671347725843639
"[50,55)",1,Anemia,16444,1534,0.09328630503527123
"[55,60)",0,Anemia,12063,974,0.08074276713918593
"[55,60)",1,Anemia,19021,1644,0.08643078702486726
"[60,65)",0,Anemia,12801,1174,0.09171158503241934
"[60,65)",1,Anemia,18803,1648,0.08764558846992501
"[65,70)",0,Anemia,12266,1237,0.1008478721669656
"[65,70)",1,Anemia,17867,1750,0.09794593384451783
"[70,75)",0,Anemia,11053,1186,0.10730118519858863
"[70,75)",1,Anemia,14077,1513,0.10748028699296726
"[75,80)",0,Anemia,7352,896,0.12187159956474429
"[75,80)",1,Anemia,8225,968,0.11768996960486322
"[80,100)",0,Anemia,5444,883,0.16219691403379868
"[80,100)",1,Anemia,5775,848,0.14683982683982685
"[40,45)",0,Anxiety,5126,527,0.10280920795942255
"[40,45)",1,Anxiety,10340,1470,0.14216634429400388
"[45,50)",0,Anxiety,7521,787,0.10464034038026858
"[45,50)",1,Anxiety,13729,2003,0.14589554956661083
"[50,55)",0,Anxiety,9542,850,0.08907985747222805
"[50,55)",1,Anxiety,16444,2378,0.1446120165409876
"[55,60)",0,Anxiety,12063,1085,0.08994445826079749
"[55,60)",1,Anxiety,19021,2547,0.13390463172283265
"[60,65)",0,Anxiety,12801,1061,0.08288414967580658
"[60,65)",1,Anxiety,18803,2300,0.12232090623836622
"[65,70)",0,Anxiety,12266,913,0.07443339311919125
"[65,70)",1,Anxiety,17867,2035,0.11389712878491073
"[70,75)",0,Anxiety,11053,720,0.06514068578666425
"[70,75)",1,Anxiety,14077,1591,0.11302124032109113
"[75,80)",0,Anxiety,7352,403,0.054815016322089224
"[75,80)",1,Anxiety,8225,842,0.102370820668693
"[80,100)",0,Anxiety,5444,278,0.05106539309331374
"[80,100)",1,Anxiety,5775,548,0.09489177489177489
"[40,45)",0,Arthritis,5126,259,0.050526726492391726
"[40,45)",1,Arthritis,10340,737,0.07127659574468086
"[45,50)",0,Arthritis,7521,592,0.07871293710942694
"[45,50)",1,Arthritis,13729,1414,0.10299366304902033
"[50,55)",0,Arthritis,9542,888,0.09306225110039824
"[50,55)",1,Arthritis,16444,2224,0.13524689856482608
