"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,172657,292,4,42604,0.00169121437300544,0.0000231673201781567,0.246755127217547
"[40,45)",1,187171,763,7,58509,0.00407648620779929,0.0000373989560348558,0.31259650266334
"[45,50)",0,191151,497,8,52889,0.00260003871285005,0.0000418517297843066,0.276687017070274
"[45,50)",1,206166,1213,20,68914,0.00588360835443284,0.0000970092061736659,0.334264621712601
"[50,55)",0,194439,845,22,61195,0.00434583596912142,0.000113146025231564,0.314725955183888
"[50,55)",1,206433,1702,38,74256,0.00824480582077478,0.000184079095880988,0.359709930098385
"[55,60)",0,179077,1210,33,64260,0.00675686994979813,0.000184278271358131,0.358840052044651
"[55,60)",1,184234,1970,52,71494,0.0106929231303668,0.000282249747603591,0.388060835676368
"[60,65)",0,168738,1801,52,68685,0.0106733515864832,0.000308170062463701,0.407051168083064
"[60,65)",1,172121,2383,85,72679,0.013844911428588,0.000493838636772968,0.422255273906147
"[65,70)",0,164562,2602,79,73121,0.0158116697658026,0.000480062225787241,0.444337088756821
"[65,70)",1,168324,3238,123,76422,0.0192367101542264,0.000730733585228488,0.45401725244172
"[70,75)",0,133029,3510,140,66144,0.0263852242744063,0.00105240210781108,0.497214892993257
"[70,75)",1,142086,4355,205,72294,0.030650451135228,0.0014427881705446,0.50880452683586
"[75,80)",0,105382,4722,229,58324,0.0448084113036382,0.00217304663035433,0.553453151392078
"[75,80)",1,120407,6196,341,68174,0.0514588022291063,0.00283206125889691,0.566196317489847
"[80,120]",0,151396,11215,605,91887,0.0740772543528231,0.00399614256651431,0.606931490924463
"[80,120]",1,233184,18482,1103,142058,0.0792592973788939,0.00473017016604913,0.609209894332373
