"age_group","is_female","category","N","count","percent"
"[40,45)",0,"AFIB",172657,304,0.00176071633353991
"[40,45)",1,"AFIB",187171,72,0.000384674976358517
"[45,50)",0,"AFIB",191151,571,0.00298716721335489
"[45,50)",1,"AFIB",206166,165,0.000800325950932744
"[50,55)",0,"AFIB",194439,972,0.00499899711477636
"[50,55)",1,"AFIB",206433,339,0.00164217930272776
"[55,60)",0,"AFIB",179077,1514,0.0084544637223094
"[55,60)",1,"AFIB",184234,620,0.00336528545219666
"[60,65)",0,"AFIB",168738,2296,0.0136068935272434
"[60,65)",1,"AFIB",172121,1100,0.0063908529464737
"[65,70)",0,"AFIB",164562,3475,0.0211166611976033
"[65,70)",1,"AFIB",168324,1917,0.0113887502673416
"[70,75)",0,"AFIB",133029,4268,0.032083229972412
"[70,75)",1,"AFIB",142086,2822,0.0198612108159847
"[75,80)",0,"AFIB",105382,4831,0.0458427435425405
"[75,80)",1,"AFIB",120407,3973,0.0329964204738927
"[80,120]",0,"AFIB",151396,9112,0.0601865306877328
"[80,120]",1,"AFIB",233184,11585,0.0496817963496638
"[40,45)",0,"Anemia",172657,461,0.00267003365053256
"[40,45)",1,"Anemia",187171,3877,0.0207136789353051
"[45,50)",0,"Anemia",191151,684,0.00357832289655822
"[45,50)",1,"Anemia",206166,4956,0.0240388812898344
"[50,55)",0,"Anemia",194439,989,0.00508642813427347
"[50,55)",1,"Anemia",206433,4244,0.0205587284978661
"[55,60)",0,"Anemia",179077,1409,0.00786812376798807
"[55,60)",1,"Anemia",184234,2358,0.0127989404778705
"[60,65)",0,"Anemia",168738,1999,0.0118467683627873
"[60,65)",1,"Anemia",172121,2195,0.0127526565613725
"[65,70)",0,"Anemia",164562,2798,0.0170027102247177
"[65,70)",1,"Anemia",168324,2848,0.0169197500059409
"[70,75)",0,"Anemia",133029,3293,0.0247540010072992
"[70,75)",1,"Anemia",142086,3626,0.0255197556409498
"[75,80)",0,"Anemia",105382,4039,0.0383272285589569
"[75,80)",1,"Anemia",120407,4505,0.0374147682443712
"[80,120]",0,"Anemia",151396,8890,0.0587201775476235
"[80,120]",1,"Anemia",233184,12523,0.0537043707973103
"[40,45)",0,"Anxiety",172657,2993,0.0173349473233057
"[40,45)",1,"Anxiety",187171,5399,0.0288452805188838
