"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,56050,177,5,14204,0.00315789473684211,0.0000892060660124889,0.253416592328278
"[40,45)",1,51159,376,7,17212,0.00734963545026291,0.000136828319552767,0.33644129087746
"[45,50)",0,56112,315,2,17288,0.00561377245508982,0.000035642999714856,0.308098089535215
"[45,50)",1,51796,648,14,19724,0.0125106185805854,0.000270291142173141,0.380801606301645
"[50,55)",0,56983,625,20,20749,0.0109681834933226,0.000350981871786322,0.36412614288472
"[50,55)",1,53701,999,37,22504,0.0186030055306233,0.000689000204837899,0.419061097558705
"[55,60)",0,52084,956,32,22297,0.0183549650564473,0.000614392135780662,0.428096920359419
"[55,60)",1,48163,1290,63,22381,0.0267840458443203,0.00130805805286216,0.46469281398584
"[60,65)",0,46881,1385,62,22971,0.029542885177364,0.00132249738700113,0.489985281883919
"[60,65)",1,43894,1641,82,22260,0.0373855196610015,0.00186813687519934,0.507130815145578
"[65,70)",0,43151,2025,132,23627,0.0469282287780121,0.00305902528330746,0.54754235127807
"[65,70)",1,41309,2162,148,22933,0.0523372630661599,0.00358275436345591,0.555157471737394
"[70,75)",0,36252,2684,192,21701,0.0740372944940969,0.00529625951671632,0.598615248813859
"[70,75)",1,37439,3008,288,22325,0.0803440262827533,0.0076925131547317,0.596303320067309
"[75,80)",0,29396,3434,360,18241,0.116818614777521,0.0122465641583889,0.620526602258811
"[75,80)",1,31970,4136,397,19865,0.129371285580231,0.0124178917735377,0.621363778542383
"[80,120]",0,43290,8115,1056,26207,0.187456687456687,0.0243936243936244,0.605382305382305
"[80,120]",1,64298,12953,1848,38642,0.201452611278733,0.0287411739089863,0.600982923263554
