"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,6031,26,1,1388,0.00431105952578345,0.000165809981760902,0.230144254684132
"[40,45)",1,7159,38,4,1908,0.00530800391116078,0.000558737253806398,0.266517670065652
"[45,50)",0,11440,83,6,2944,0.00725524475524475,0.000524475524475524,0.257342657342657
"[45,50)",1,14635,107,9,4247,0.0073112401776563,0.000614964127092586,0.290194738640246
"[50,55)",0,12800,153,15,3868,0.011953125,0.001171875,0.3021875
"[50,55)",1,17563,243,13,5833,0.0138359050276149,0.00074019245003701,0.332118658543529
"[55,60)",0,15449,330,26,5449,0.0213606058644572,0.00168295682568451,0.352708913198265
"[55,60)",1,20464,372,32,7581,0.0181782642689601,0.00156372165754496,0.37045543393276
"[60,65)",0,21827,669,49,9324,0.0306501122463005,0.00224492600907133,0.427177349154717
"[60,65)",1,27399,749,39,11471,0.0273367641154787,0.00142340961348954,0.418664914777912
"[65,70)",0,20991,997,116,10306,0.0474965461388214,0.00552617788576056,0.490972321471107
"[65,70)",1,22599,932,66,10753,0.0412407628656135,0.00292048320722156,0.475817514049294
"[70,75)",0,5525,322,38,2897,0.0582805429864253,0.00687782805429864,0.524343891402715
"[70,75)",1,5684,288,17,2920,0.0506685432793807,0.002990851513019,0.513722730471499
