"age_group","is_female","category","N","count","percent"
"[40,45)",0,"AFIB",6031,0,0
"[40,45)",1,"AFIB",7159,0,0
"[45,50)",0,"AFIB",11440,33,0.00288461538461538
"[45,50)",1,"AFIB",14635,0,0
"[50,55)",0,"AFIB",12800,57,0.004453125
"[50,55)",1,"AFIB",17563,27,0.0015373227808461
"[55,60)",0,"AFIB",15449,108,0.00699074373745874
"[55,60)",1,"AFIB",20464,42,0.00205238467552776
"[60,65)",0,"AFIB",21827,295,0.0135153708709397
"[60,65)",1,"AFIB",27399,127,0.00463520566444031
"[65,70)",0,"AFIB",20991,429,0.0204373302844076
"[65,70)",1,"AFIB",22599,196,0.00867295013053675
"[70,75)",0,"AFIB",5525,163,0.0295022624434389
"[70,75)",1,"AFIB",5684,49,0.00862068965517241
"[40,45)",0,"Anemia",6031,37,0.00613496932515337
"[40,45)",1,"Anemia",7159,203,0.0283559156306747
"[45,50)",0,"Anemia",11440,72,0.00629370629370629
"[45,50)",1,"Anemia",14635,429,0.0293132900580799
"[50,55)",0,"Anemia",12800,140,0.0109375
"[50,55)",1,"Anemia",17563,468,0.0266469282013323
"[55,60)",0,"Anemia",15449,196,0.012686905301314
"[55,60)",1,"Anemia",20464,339,0.0165656763096169
"[60,65)",0,"Anemia",21827,345,0.0158061116965227
"[60,65)",1,"Anemia",27399,412,0.0150370451476331
"[65,70)",0,"Anemia",20991,448,0.0213424801105236
"[65,70)",1,"Anemia",22599,446,0.0197353865215275
"[70,75)",0,"Anemia",5525,131,0.023710407239819
"[70,75)",1,"Anemia",5684,124,0.0218156228008445
"[40,45)",0,"Anxiety",6031,39,0.00646658928867518
"[40,45)",1,"Anxiety",7159,86,0.0120128509568375
"[45,50)",0,"Anxiety",11440,78,0.00681818181818182
"[45,50)",1,"Anxiety",14635,159,0.0108643662453024
"[50,55)",0,"Anxiety",12800,99,0.007734375
"[50,55)",1,"Anxiety",17563,195,0.0111028867505551
"[55,60)",0,"Anxiety",15449,92,0.00595507799857596
"[55,60)",1,"Anxiety",20464,186,0.00908913213448006
"[60,65)",0,"Anxiety",21827,136,0.00623081504558574
"[60,65)",1,"Anxiety",27399,239,0.0087229460929231
"[65,70)",0,"Anxiety",20991,86,0.004096993949788
"[65,70)",1,"Anxiety",22599,173,0.0076552059825656
"[70,75)",0,"Anxiety",5525,23,0.00416289592760181
"[70,75)",1,"Anxiety",5684,54,0.00950035186488388
"[40,45)",0,"Arthritis",6031,177,0.0293483667716797
"[40,45)",1,"Arthritis",7159,137,0.0191367509428691
"[45,50)",0,"Arthritis",11440,481,0.0420454545454545
"[45,50)",1,"Arthritis",14635,409,0.0279467031089853
"[50,55)",0,"Arthritis",12800,750,0.05859375
"[50,55)",1,"Arthritis",17563,925,0.0526675397141718
"[55,60)",0,"Arthritis",15449,1300,0.0841478412842255
"[55,60)",1,"Arthritis",20464,1746,0.0853205629397967
"[60,65)",0,"Arthritis",21827,2368,0.108489485499611
"[60,65)",1,"Arthritis",27399,3103,0.113252308478412
"[65,70)",0,"Arthritis",20991,2989,0.142394359487399
"[65,70)",1,"Arthritis",22599,3268,0.144608168503031
"[70,75)",0,"Arthritis",5525,890,0.161085972850679
"[70,75)",1,"Arthritis",5684,890,0.156579873328642
"[40,45)",0,"CAD",6031,27,0.00447686950754435
"[40,45)",1,"CAD",7159,0,0
"[45,50)",0,"CAD",11440,118,0.0103146853146853
"[45,50)",1,"CAD",14635,46,0.00314314998291766
"[50,55)",0,"CAD",12800,225,0.017578125
"[50,55)",1,"CAD",17563,107,0.00609235324261231
"[55,60)",0,"CAD",15449,458,0.0296459317755195
"[55,60)",1,"CAD",20464,218,0.010652853792025
"[60,65)",0,"CAD",21827,1047,0.0479681128877079
"[60,65)",1,"CAD",27399,477,0.017409394503449
"[65,70)",0,"CAD",20991,1508,0.0718403125148873
"[65,70)",1,"CAD",22599,662,0.0292933315633435
"[70,75)",0,"CAD",5525,461,0.0834389140271493
"[70,75)",1,"CAD",5684,249,0.0438071780436312
"[40,45)",0,"CVA",6031,24,0.00397943956226165
"[40,45)",1,"CVA",7159,0,0
"[45,50)",0,"CVA",11440,29,0.00253496503496503
"[45,50)",1,"CVA",14635,45,0.00307482063546293
"[50,55)",0,"CVA",12800,72,0.005625
"[50,55)",1,"CVA",17563,68,0.00387177589250128
"[55,60)",0,"CVA",15449,115,0.00744384749821995
"[55,60)",1,"CVA",20464,101,0.00493549648162627
"[60,65)",0,"CVA",21827,253,0.0115911485774499
"[60,65)",1,"CVA",27399,168,0.00613161064272419
"[65,70)",0,"CVA",20991,345,0.0164356152636844
"[65,70)",1,"CVA",22599,216,0.00955794504181601
"[70,75)",0,"CVA",5525,113,0.0204524886877828
"[70,75)",1,"CVA",5684,93,0.0163617171006334
"[40,45)",0,"Cancer",6031,61,0.010114408887415
"[40,45)",1,"Cancer",7159,69,0.00963821762816036
"[45,50)",0,"Cancer",11440,110,0.00961538461538462
"[45,50)",1,"Cancer",14635,202,0.0138025281858558
"[50,55)",0,"Cancer",12800,238,0.01859375
"[50,55)",1,"Cancer",17563,327,0.0186186870124694
"[55,60)",0,"Cancer",15449,374,0.0242086866463849
"[55,60)",1,"Cancer",20464,453,0.0221364347146208
"[60,65)",0,"Cancer",21827,873,0.0399963348146791
"[60,65)",1,"Cancer",27399,843,0.0307675462608124
"[65,70)",0,"Cancer",20991,1248,0.0594540517364585
"[65,70)",1,"Cancer",22599,892,0.039470773043055
"[70,75)",0,"Cancer",5525,408,0.0738461538461539
"[70,75)",1,"Cancer",5684,234,0.0411681914144968
"[40,45)",0,"Chronpain",6031,244,0.0404576355496601
"[40,45)",1,"Chronpain",7159,307,0.042883084229641
"[45,50)",0,"Chronpain",11440,431,0.0376748251748252
"[45,50)",1,"Chronpain",14635,612,0.0418175606422959
"[50,55)",0,"Chronpain",12800,456,0.035625
"[50,55)",1,"Chronpain",17563,740,0.0421340317713375
"[55,60)",0,"Chronpain",15449,519,0.03359440740501
"[55,60)",1,"Chronpain",20464,864,0.0422204847537138
"[60,65)",0,"Chronpain",21827,778,0.0356439272460714
"[60,65)",1,"Chronpain",27399,1203,0.0439067119237928
"[65,70)",0,"Chronpain",20991,733,0.0349197275022629
"[65,70)",1,"Chronpain",22599,972,0.043010752688172
"[70,75)",0,"Chronpain",5525,178,0.0322171945701357
"[70,75)",1,"Chronpain",5684,259,0.0455665024630542
"[40,45)",0,"Dementia",6031,35,0.00580334936163157
"[40,45)",1,"Dementia",7159,0,0
"[45,50)",0,"Dementia",11440,69,0.00603146853146853
"[45,50)",1,"Dementia",14635,43,0.00293816194055347
"[50,55)",0,"Dementia",12800,83,0.006484375
"[50,55)",1,"Dementia",17563,69,0.00392871377327336
"[55,60)",0,"Dementia",15449,96,0.00621399443329665
"[55,60)",1,"Dementia",20464,77,0.00376270523846755
"[60,65)",0,"Dementia",21827,136,0.00623081504558574
"[60,65)",1,"Dementia",27399,126,0.00459870798204314
"[65,70)",0,"Dementia",20991,171,0.00814634843504359
"[65,70)",1,"Dementia",22599,118,0.00522146997654763
"[70,75)",0,"Dementia",5525,60,0.0108597285067873
"[70,75)",1,"Dementia",5684,35,0.0061576354679803
"[40,45)",0,"Depress",6031,194,0.032167136461615
"[40,45)",1,"Depress",7159,423,0.0590864645900265
"[45,50)",0,"Depress",11440,353,0.0308566433566434
"[45,50)",1,"Depress",14635,783,0.053501879057055
"[50,55)",0,"Depress",12800,411,0.032109375
"[50,55)",1,"Depress",17563,870,0.0495359562717076
"[55,60)",0,"Depress",15449,465,0.0300990355362807
"[55,60)",1,"Depress",20464,887,0.0433444096950743
"[60,65)",0,"Depress",21827,552,0.0252897787144362
"[60,65)",1,"Depress",27399,952,0.0347457936421037
"[65,70)",0,"Depress",20991,412,0.0196274593873565
"[65,70)",1,"Depress",22599,608,0.0269038453028895
"[70,75)",0,"Depress",5525,90,0.016289592760181
"[70,75)",1,"Depress",5684,158,0.0277973258268825
"[40,45)",0,"Diabetes",6031,115,0.0190681479025037
"[40,45)",1,"Diabetes",7159,75,0.01047632350887
"[45,50)",0,"Diabetes",11440,308,0.0269230769230769
"[45,50)",1,"Diabetes",14635,202,0.0138025281858558
"[50,55)",0,"Diabetes",12800,490,0.03828125
"[50,55)",1,"Diabetes",17563,343,0.0195296931048226
"[55,60)",0,"Diabetes",15449,742,0.0480289986406887
"[55,60)",1,"Diabetes",20464,505,0.0246774824081314
"[60,65)",0,"Diabetes",21827,1414,0.0647821505474871
"[60,65)",1,"Diabetes",27399,858,0.03131501149677
"[65,70)",0,"Diabetes",20991,1657,0.0789385927302177
"[65,70)",1,"Diabetes",22599,891,0.039426523297491
"[70,75)",0,"Diabetes",5525,479,0.0866968325791855
"[70,75)",1,"Diabetes",5684,252,0.0443349753694581
"[40,45)",0,"DuraMed",6031,0,0
"[40,45)",1,"DuraMed",7159,0,0
"[45,50)",0,"DuraMed",11440,0,0
"[45,50)",1,"DuraMed",14635,0,0
"[50,55)",0,"DuraMed",12800,0,0
"[50,55)",1,"DuraMed",17563,0,0
"[55,60)",0,"DuraMed",15449,0,0
"[55,60)",1,"DuraMed",20464,0,0
"[60,65)",0,"DuraMed",21827,0,0
"[60,65)",1,"DuraMed",27399,0,0
"[65,70)",0,"DuraMed",20991,0,0
"[65,70)",1,"DuraMed",22599,0,0
"[70,75)",0,"DuraMed",5525,0,0
"[70,75)",1,"DuraMed",5684,0,0
"[40,45)",0,"Falls",6031,42,0.00696401923395788
"[40,45)",1,"Falls",7159,69,0.00963821762816036
"[45,50)",0,"Falls",11440,112,0.00979020979020979
"[45,50)",1,"Falls",14635,150,0.0102494021182098
"[50,55)",0,"Falls",12800,113,0.008828125
"[50,55)",1,"Falls",17563,238,0.0135512156237545
"[55,60)",0,"Falls",15449,146,0.00945044986730533
"[55,60)",1,"Falls",20464,363,0.0177384675527756
"[60,65)",0,"Falls",21827,263,0.0120492967425665
"[60,65)",1,"Falls",27399,542,0.0197817438592649
"[65,70)",0,"Falls",20991,284,0.0135296079272069
"[65,70)",1,"Falls",22599,556,0.0246028585335634
"[70,75)",0,"Falls",5525,95,0.0171945701357466
"[70,75)",1,"Falls",5684,161,0.0283251231527094
"[40,45)",0,"Fatigue",6031,72,0.0119383186867849
"[40,45)",1,"Fatigue",7159,175,0.0244447548540299
"[45,50)",0,"Fatigue",11440,124,0.0108391608391608
"[45,50)",1,"Fatigue",14635,337,0.0230269900922446
"[50,55)",0,"Fatigue",12800,151,0.011796875
"[50,55)",1,"Fatigue",17563,395,0.0224904629049707
"[55,60)",0,"Fatigue",15449,189,0.0122338015405528
"[55,60)",1,"Fatigue",20464,446,0.0217943706020328
"[60,65)",0,"Fatigue",21827,308,0.0141109634855912
"[60,65)",1,"Fatigue",27399,542,0.0197817438592649
"[65,70)",0,"Fatigue",20991,315,0.0150064313277119
"[65,70)",1,"Fatigue",22599,472,0.0208858799061905
"[70,75)",0,"Fatigue",5525,74,0.013393665158371
"[70,75)",1,"Fatigue",5684,119,0.020935960591133
"[40,45)",0,"FtoThrive",6031,0,0
"[40,45)",1,"FtoThrive",7159,0,0
"[45,50)",0,"FtoThrive",11440,0,0
"[45,50)",1,"FtoThrive",14635,0,0
"[50,55)",0,"FtoThrive",12800,0,0
"[50,55)",1,"FtoThrive",17563,0,0
"[55,60)",0,"FtoThrive",15449,0,0
"[55,60)",1,"FtoThrive",20464,0,0
"[60,65)",0,"FtoThrive",21827,0,0
"[60,65)",1,"FtoThrive",27399,0,0
"[65,70)",0,"FtoThrive",20991,0,0
"[65,70)",1,"FtoThrive",22599,0,0
"[70,75)",0,"FtoThrive",5525,0,0
"[70,75)",1,"FtoThrive",5684,0,0
"[40,45)",0,"GaitAb",6031,0,0
"[40,45)",1,"GaitAb",7159,0,0
"[45,50)",0,"GaitAb",11440,0,0
"[45,50)",1,"GaitAb",14635,0,0
"[50,55)",0,"GaitAb",12800,0,0
"[50,55)",1,"GaitAb",17563,0,0
"[55,60)",0,"GaitAb",15449,22,0.00142404039096382
"[55,60)",1,"GaitAb",20464,21,0.00102619233776388
"[60,65)",0,"GaitAb",21827,28,0.00128281486232648
"[60,65)",1,"GaitAb",27399,0,0
"[65,70)",0,"GaitAb",20991,36,0.00171502072316707
"[65,70)",1,"GaitAb",22599,32,0.00141599185804682
"[70,75)",0,"GaitAb",5525,0,0
"[70,75)",1,"GaitAb",5684,0,0
"[40,45)",0,"HF",6031,0,0
"[40,45)",1,"HF",7159,0,0
"[45,50)",0,"HF",11440,20,0.00174825174825175
"[45,50)",1,"HF",14635,0,0
"[50,55)",0,"HF",12800,32,0.0025
"[50,55)",1,"HF",17563,0,0
"[55,60)",0,"HF",15449,71,0.00459576671629232
"[55,60)",1,"HF",20464,29,0.00141712275215012
"[60,65)",0,"HF",21827,175,0.00801759288954048
"[60,65)",1,"HF",27399,52,0.00189787948465272
"[65,70)",0,"HF",20991,236,0.0112429136296508
"[65,70)",1,"HF",22599,76,0.00336298066286119
"[70,75)",0,"HF",5525,82,0.014841628959276
"[70,75)",1,"HF",5684,33,0.00580577058409571
"[40,45)",0,"HTN",6031,220,0.0364781959873984
"[40,45)",1,"HTN",7159,161,0.0224891744657075
"[45,50)",0,"HTN",11440,650,0.0568181818181818
"[45,50)",1,"HTN",14635,563,0.038469422617014
"[50,55)",0,"HTN",12800,1110,0.08671875
"[50,55)",1,"HTN",17563,1124,0.0639981779878153
"[55,60)",0,"HTN",15449,1885,0.122014369862127
"[55,60)",1,"HTN",20464,1774,0.0866888193901486
"[60,65)",0,"HTN",21827,3668,0.168048746964768
"[60,65)",1,"HTN",27399,3361,0.122668710536881
"[65,70)",0,"HTN",20991,4481,0.213472440569768
"[65,70)",1,"HTN",22599,3736,0.165317049426966
"[70,75)",0,"HTN",5525,1261,0.228235294117647
"[70,75)",1,"HTN",5684,1089,0.191590429275158
"[40,45)",0,"Hearing",6031,68,0.0112750787597413
"[40,45)",1,"Hearing",7159,77,0.0107556921357732
"[45,50)",0,"Hearing",11440,140,0.0122377622377622
"[45,50)",1,"Hearing",14635,155,0.0105910488554834
"[50,55)",0,"Hearing",12800,215,0.016796875
"[50,55)",1,"Hearing",17563,182,0.0103626943005181
"[55,60)",0,"Hearing",15449,278,0.0179946922130882
"[55,60)",1,"Hearing",20464,346,0.0169077404222048
"[60,65)",0,"Hearing",21827,612,0.0280386677051358
"[60,65)",1,"Hearing",27399,569,0.0207671812839885
"[65,70)",0,"Hearing",20991,758,0.0361107141155733
"[65,70)",1,"Hearing",22599,558,0.0246913580246914
"[70,75)",0,"Hearing",5525,230,0.0416289592760181
"[70,75)",1,"Hearing",5684,164,0.0288529204785362
"[40,45)",0,"Incont",6031,0,0
"[40,45)",1,"Incont",7159,104,0.0145271685989663
"[45,50)",0,"Incont",11440,22,0.00192307692307692
"[45,50)",1,"Incont",14635,232,0.0158524086094978
"[50,55)",0,"Incont",12800,26,0.00203125
"[50,55)",1,"Incont",17563,331,0.0188464385355577
"[55,60)",0,"Incont",15449,41,0.00265389345588711
"[55,60)",1,"Incont",20464,387,0.0189112587959343
"[60,65)",0,"Incont",21827,68,0.00311540752279287
"[60,65)",1,"Incont",27399,528,0.0192707763057046
"[65,70)",0,"Incont",20991,133,0.00633604878281168
"[65,70)",1,"Incont",22599,490,0.0216823753263419
"[70,75)",0,"Incont",5525,45,0.0081447963800905
"[70,75)",1,"Incont",5684,136,0.023926812104152
"[40,45)",0,"Kidney",6031,46,0.00762725916100149
"[40,45)",1,"Kidney",7159,34,0.00474926665735438
"[45,50)",0,"Kidney",11440,114,0.00996503496503496
"[45,50)",1,"Kidney",14635,115,0.00785787495729416
"[50,55)",0,"Kidney",12800,170,0.01328125
"[50,55)",1,"Kidney",17563,250,0.0142344701930194
"[55,60)",0,"Kidney",15449,323,0.020907502103696
"[55,60)",1,"Kidney",20464,405,0.0197908522283034
"[60,65)",0,"Kidney",21827,663,0.0303752233472305
"[60,65)",1,"Kidney",27399,941,0.0343443191357349
"[65,70)",0,"Kidney",20991,1097,0.0522604925920633
"[65,70)",1,"Kidney",22599,1208,0.0534536926412673
"[70,75)",0,"Kidney",5525,422,0.0763800904977376
"[70,75)",1,"Kidney",5684,400,0.0703729767769177
"[40,45)",0,"Liver",6031,28,0.00464267948930526
"[40,45)",1,"Liver",7159,0,0
"[45,50)",0,"Liver",11440,42,0.00367132867132867
"[45,50)",1,"Liver",14635,25,0.0017082336863683
"[50,55)",0,"Liver",12800,56,0.004375
"[50,55)",1,"Liver",17563,61,0.00347321072709674
"[55,60)",0,"Liver",15449,78,0.00504887047705353
"[55,60)",1,"Liver",20464,79,0.00386043784206411
"[60,65)",0,"Liver",21827,103,0.00471892610070097
"[60,65)",1,"Liver",27399,109,0.00397824738129129
"[65,70)",0,"Liver",20991,111,0.00528798056309847
