age_group,category,n,total,prop,fi,lb,meas,source,sex,country,old_category
"[40,45)",Activity limitation,14626,0,0,efi,1-year lookback,no,All of Us,All,US,Activity limitation
"[45,50)",Activity limitation,15913,0,0,efi,1-year lookback,no,All of Us,All,US,Activity limitation
"[50,55)",Activity limitation,19613,0,0,efi,1-year lookback,no,All of Us,All,US,Activity limitation
"[55,60)",Activity limitation,23709,0,0,efi,1-year lookback,no,All of Us,All,US,Activity limitation
"[60,65)",Activity limitation,23922,0,0,efi,1-year lookback,no,All of Us,All,US,Activity limitation
"[65,70)",Activity limitation,22783,0,0,efi,1-year lookback,no,All of Us,All,US,Activity limitation
"[70,75)",Activity limitation,19039,0,0,efi,1-year lookback,no,All of Us,All,US,Activity limitation
"[75,80)",Activity limitation,11535,0,0,efi,1-year lookback,no,All of Us,All,US,Activity limitation
"[80,100]",Activity limitation,8581,0,0,efi,1-year lookback,no,All of Us,All,US,Activity limitation
"[40,45)",Activity limitation,9944,0,0,efi,1-year lookback,no,All of Us,Female,US,Activity limitation
"[45,50)",Activity limitation,10419,0,0,efi,1-year lookback,no,All of Us,Female,US,Activity limitation
"[50,55)",Activity limitation,12562,0,0,efi,1-year lookback,no,All of Us,Female,US,Activity limitation
"[55,60)",Activity limitation,14769,0,0,efi,1-year lookback,no,All of Us,Female,US,Activity limitation
"[60,65)",Activity limitation,14518,0,0,efi,1-year lookback,no,All of Us,Female,US,Activity limitation
"[65,70)",Activity limitation,13734,0,0,efi,1-year lookback,no,All of Us,Female,US,Activity limitation
"[70,75)",Activity limitation,10854,0,0,efi,1-year lookback,no,All of Us,Female,US,Activity limitation
"[75,80)",Activity limitation,6307,0,0,efi,1-year lookback,no,All of Us,Female,US,Activity limitation
"[80,100]",Activity limitation,4551,0,0,efi,1-year lookback,no,All of Us,Female,US,Activity limitation
"[40,45)",Activity limitation,4682,0,0,efi,1-year lookback,no,All of Us,Male,US,Activity limitation
"[45,50)",Activity limitation,5494,0,0,efi,1-year lookback,no,All of Us,Male,US,Activity limitation
"[50,55)",Activity limitation,7051,0,0,efi,1-year lookback,no,All of Us,Male,US,Activity limitation
"[55,60)",Activity limitation,8940,0,0,efi,1-year lookback,no,All of Us,Male,US,Activity limitation
"[60,65)",Activity limitation,9404,0,0,efi,1-year lookback,no,All of Us,Male,US,Activity limitation
"[65,70)",Activity limitation,9049,0,0,efi,1-year lookback,no,All of Us,Male,US,Activity limitation
"[70,75)",Activity limitation,8185,0,0,efi,1-year lookback,no,All of Us,Male,US,Activity limitation
"[75,80)",Activity limitation,5228,0,0,efi,1-year lookback,no,All of Us,Male,US,Activity limitation
"[80,100]",Activity limitation,4030,0,0,efi,1-year lookback,no,All of Us,Male,US,Activity limitation
"[40,45)",Activity limitation,105426,0,0,efi,1-year lookback,no,IMRD - EMIS,All,UK,Activity limitation
"[40,45)",Activity limitation,105426,55,5.216929410202417e-4,efi,3-year lookback,no,IMRD - EMIS,All,UK,Activity limitation
