age_group,n,prefrail,frail,fi,source,lb,meas,sex,n_frail,n_prefrail,n_robust,robust,country
"[40,45)",107209,0.0019961010736038952,4.663787555148422e-5,efi,imrd-emis,1-year lookback,no,All,4.999999999999072,214,106990,0.9979572610508446,UK
"[45,50)",107908,0.004309226378025729,1.8534307002254943e-5,efi,imrd-emis,1-year lookback,no,All,1.9999999999993263,465.00000000000034,107441,0.9956722393149721,UK
"[50,55)",110684,0.008320985869683061,1.7165986050377138e-4,efi,imrd-emis,1-year lookback,no,All,18.99999999999943,920.9999999999999,109744,0.9915073542698132,UK
"[55,60)",100247,0.014065258810737506,3.491376300537665e-4,efi,imrd-emis,1-year lookback,no,All,34.99999999999993,1410.0000000000027,98802,0.9855856035592088,UK
"[60,65)",90775,0.02660424125585236,6.058936931974614e-4,efi,imrd-emis,1-year lookback,no,All,54.99999999999956,2414.999999999998,88305,0.9727898650509501,UK
"[65,70)",84460,0.04571394743073645,0.0016694293156523795,efi,imrd-emis,1-year lookback,no,All,140.99999999999997,3861.000000000001,80458,0.9526166232536112,UK
"[70,75)",73691,0.07612869956982536,0.003935351671167441,efi,imrd-emis,1-year lookback,no,All,289.9999999999999,5610.000000000001,67791,0.9199359487590072,UK
"[75,80)",61366,0.12422188182381118,0.00912557442231853,efi,imrd-emis,1-year lookback,no,All,559.9999999999989,7622.999999999996,53183,0.8666525437538702,UK
"[80,120]",107588,0.20615682046324882,0.023143845038480153,efi,imrd-emis,1-year lookback,no,All,2490.0000000000027,22180.000000000015,82917.99999999999,0.770699334498271,UK
"[40,45)",51159,0.00285384780781485,7.8187611173e-5,efi,imrd-emis,1-year lookback,no,Female,3.999999999999507,145.99999999999991,51009,0.9970679645810121,UK
"[45,50)",51796,0.00536720982315237,1.930651015522e-5,efi,imrd-emis,1-year lookback,no,Female,0.9999999999997752,278.0000000000001,51517,0.9946134836666924,UK
"[50,55)",53701,0.00955289473194168,1.6759464442002e-4,efi,imrd-emis,1-year lookback,no,Female,8.999999999999494,513.0000000000001,53179,0.9902795106236383,UK
"[55,60)",48163,0.0151568631522123,4.3601935095405e-4,efi,imrd-emis,1-year lookback,no,Female,20.99999999999991,730.000000000001,47412,0.9844071174968336,UK
"[60,65)",43894,0.0268601631202442,4.1007882626327e-4,efi,imrd-emis,1-year lookback,no,Female,17.999999999999975,1178.9999999999989,42697,0.9727297580534925,UK
"[65,70)",41309,0.044832845142705,0.00181558498148103,efi,imrd-emis,1-year lookback,no,Female,74.99999999999987,1852.0000000000007,39382,0.953351569875814,UK
"[70,75)",37439,0.074013728999172,0.00384625657736585,efi,imrd-emis,1-year lookback,no,Female,144.00000000000006,2771.0000000000005,34524,0.9221400144234622,UK
"[75,80)",31970,0.122270878949015,0.00825774163278073,efi,imrd-emis,1-year lookback,no,Female,263.99999999999994,3909.0000000000095,27796.99999999999,0.8694713794182042,UK
"[80,120]",64298,0.20821798500731,0.0231111387601481,efi,imrd-emis,1-year lookback,no,Female,1486.0000000000025,13388.000000000018,49423.999999999985,0.768670876232542,UK
"[40,45)",56050,0.0012132024977698499,1.784121320249e-5,efi,imrd-emis,1-year lookback,no,Male,0.9999999999995645,68.00000000000009,55981,0.9987689562890276,UK
"[45,50)",56112,0.00333262047333904,1.782149985742e-5,efi,imrd-emis,1-year lookback,no,Male,0.999999999999551,187.0000000000002,55924,0.9966495580268036,UK
"[50,55)",56983,0.00716003018444097,1.7549093589316e-4,efi,imrd-emis,1-year lookback,no,Male,9.999999999999936,407.9999999999998,56565,0.9926644788796659,UK
"[55,60)",52084,0.0130558328853391,2.6879655940404e-4,efi,imrd-emis,1-year lookback,no,Male,14.000000000000018,680.0000000000017,51390,0.9866753705552569,UK
"[60,65)",46881,0.026364625327958,7.8923231159744e-4,efi,imrd-emis,1-year lookback,no,Male,36.99999999999958,1235.999999999999,45608,0.9728461423604445,UK
"[65,70)",43151,0.0465574378345809,0.00152951264165373,efi,imrd-emis,1-year lookback,no,Male,66.0000000000001,2009.0000000000002,41076,0.9519130495237654,UK
"[70,75)",36252,0.078312920666446,0.00402736400750303,efi,imrd-emis,1-year lookback,no,Male,145.99999999999983,2839.0000000000005,33267,0.917659715326051,UK
"[75,80)",29396,0.126343720234045,0.0100693971968975,efi,imrd-emis,1-year lookback,no,Male,295.9999999999989,3713.999999999987,25386.000000000015,0.8635868825690575,UK
"[80,120]",43290,0.203095403095403,0.0231924231924232,efi,imrd-emis,1-year lookback,no,Male,1004.0000000000003,8791.999999999996,33494,0.7737121737121737,UK
"[40,45)",107209,0.0030687722112882334,6.529302577208615e-5,efi,imrd-emis,1-year lookback,yes,All,6.999999999999584,329.0000000000002,106873,0.9968659347629397,UK
