"age_group","is_female","n","prefrail","frail"
"[55,60)",1,48163,0.0267840458443203,0.00130805805286216
"[50,55)",0,56983,0.0109681834933226,0.000350981871786322
"[75,80)",0,29396,0.116818614777521,0.0122465641583889
"[60,65)",0,46881,0.029542885177364,0.00132249738700113
"[80,120]",1,64298,0.201452611278733,0.0287411739089863
"[55,60)",0,52084,0.0183549650564473,0.000614392135780662
"[45,50)",0,56112,0.00561377245508982,0.000035642999714856
"[70,75)",0,36252,0.0740372944940969,0.00529625951671632
"[80,120]",0,43290,0.187456687456687,0.0243936243936244
"[65,70)",0,43151,0.0469282287780121,0.00305902528330746
"[65,70)",1,41309,0.0523372630661599,0.00358275436345591
"[40,45)",1,51159,0.00734963545026291,0.000136828319552767
"[60,65)",1,43894,0.0373855196610015,0.00186813687519934
"[40,45)",0,56050,0.00315789473684211,0.0000892060660124889
"[70,75)",1,37439,0.0803440262827533,0.0076925131547317
"[50,55)",1,53701,0.0186030055306233,0.000689000204837899
"[45,50)",1,51796,0.0125106185805854,0.000270291142173141
"[75,80)",1,31970,0.129371285580231,0.0124178917735377
