"category","is_female","age_group","total","n","prop"
"Respiratory disease","1","[80,120]",10975,64298,0.170689601542816
"Ischaemic heart disease","0","[50,55)",1397,56983,0.0245160837442746
"Skin ulcer","0","[75,80)",922,29396,0.0313648115389849
"Ischaemic heart disease","0","[75,80)",4973,29396,0.169172676554633
"Respiratory disease","1","[70,75)",7006,37439,0.187131066534897
"Hypertension","1","[50,55)",6073,53701,0.113089141729204
"Diabetes","0","[55,60)",6435,52084,0.123550418554642
"Respiratory disease","0","[45,50)",4846,56112,0.0863629883090961
"Ischaemic heart disease","1","[65,70)",1622,41309,0.0392650511994965
"Respiratory disease","0","[80,120]",8239,43290,0.19032109032109
"Skin ulcer","1","[65,70)",455,41309,0.0110145488876516
"Hypertension","0","[80,120]",15245,43290,0.352159852159852
"Arthritis","0","[80,120]",8428,43290,0.194686994686995
"Hypertension","1","[45,50)",3834,51796,0.0740211599351301
"Hypertension","1","[65,70)",10763,41309,0.260548548742405
"Ischaemic heart disease","1","[70,75)",2230,37439,0.0595635567189295
"Urinary system disease","0","[75,80)",5122,29396,0.174241393386855
"Skin ulcer","0","[70,75)",825,36252,0.0227573651108904
"Hypertension","1","[80,120]",26015,64298,0.404600454135432
"Hypertension","0","[70,75)",11708,36252,0.322961491779764
"Respiratory disease","1","[55,60)",6556,48163,0.136121088802608
"Diabetes","1","[45,50)",2407,51796,0.046470769943625
"Diabetes","0","[80,120]",9487,43290,0.219149919149919
"Ischaemic heart disease","0","[65,70)",4202,43151,0.0973789715186207
"Arthritis","0","[55,60)",4382,52084,0.0841333230934644
"Skin ulcer","0","[60,65)",548,46881,0.0116891704528487
"Hypotension / syncope","0","[80,120]",3247,43290,0.075005775005775
"Skin ulcer","0","[65,70)",658,43151,0.0152487775486084
"Arthritis","1","[65,70)",6361,41309,0.153985814229345
"Respiratory disease","0","[55,60)",5419,52084,0.104043468243606
"Osteoporosis","0","[75,80)",658,29396,0.022383997822833
"Hypertension","1","[60,65)",8821,43894,0.200961407026017
"Diabetes","0","[50,55)",5377,56983,0.0943614762297527
"Skin ulcer","1","[55,60)",277,48163,0.0057513028673463
"Arthritis","0","[75,80)",5337,29396,0.181555313648115
"Urinary system disease","0","[65,70)",4794,43151,0.111098236425575
"Hypotension / syncope","1","[50,55)",824,53701,0.0153442207780116
"Diabetes","1","[50,55)",3511,53701,0.0653805329509693
"Diabetes","1","[40,45)",1728,51159,0.0337770480267402
"Ischaemic heart disease","1","[50,55)",403,53701,0.00750451574458576
"Diabetes","1","[55,60)",4297,48163,0.0892178643356934
"Skin ulcer","0","[50,55)",331,56983,0.00580874997806363
"Diabetes","0","[70,75)",7557,36252,0.208457464415756
"Arthritis","1","[40,45)",1063,51159,0.0207783576692273
"Urinary system disease","0","[60,65)",3697,46881,0.0788592393506964
"Hypotension / syncope","0","[65,70)",1028,43151,0.023823318115455
"Diabetes","1","[60,65)",4834,43894,0.110128947008703
"Diabetes","1","[75,80)",5599,31970,0.175132937128558
"Arthritis","1","[45,50)",1875,51796,0.0361997065410456
"Arthritis","0","[50,55)",3413,56983,0.0598950564203359
"Skin ulcer","0","[45,50)",241,56112,0.00429498146564015
"Hearing impairment","0","[75,80)",2944,29396,0.100149680228603
"Urinary system disease","1","[80,120]",5618,64298,0.087374412889981
"Hypotension / syncope","0","[50,55)",626,56983,0.0109857325869119
"Urinary system disease","0","[50,55)",2300,56983,0.0403629152554271
"Osteoporosis","0","[65,70)",480,43151,0.0111237283029362
"Fragility fracture","1","[65,70)",888,41309,0.0214965261807354
"Hypotension / syncope","0","[60,65)",863,46881,0.0184083104029351
"Hearing impairment","0","[70,75)",2630,36252,0.0725477215050204
"Ischaemic heart disease","1","[40,45)",86,51159,0.00168103364021971
"Fragility fracture","0","[45,50)",187,56112,0.00333262047333904
"Peripheral vascular disease","0","[80,120]",737,43290,0.017024717024717
"Osteoporosis","1","[70,75)",3120,37439,0.0833355591762601
"Osteoporosis","1","[65,70)",2710,41309,0.065603137330848
"Fragility fracture","1","[70,75)",1124,37439,0.0300221693955501
"Hearing impairment","1","[70,75)",2098,37439,0.0560378215230108
"Peripheral vascular disease","1","[75,80)",276,31970,0.00863309352517986
"Heart failure","0","[80,120]",3355,43290,0.0775005775005775
"Housebound","1","[75,80)",3550,31970,0.111041601501408
"Housebound","0","[75,80)",2631,29396,0.0895019730575588
"Memory and cognitive problems","1","[80,120]",11943,64298,0.185744502161809
"Visual impairment","0","[80,120]",7627,43290,0.176183876183876
"Housebound","1","[80,120]",20393,64298,0.317163830912315
"Chronic kidney disease","0","[65,70)",4945,43151,0.114597575954207
"Visual impairment","0","[60,65)",1669,46881,0.0356007764339498
"Weight loss and anorexia","1","[75,80)",1253,31970,0.0391929934313419
"Visual impairment","1","[50,55)",1059,53701,0.0197203031600901
"Urinary system disease","0","[45,50)",1699,56112,0.0302787282577702
"Falls","1","[70,75)",2676,37439,0.0714762680627154
"Chronic kidney disease","1","[60,65)",4217,43894,0.0960723561306785
"Anaemia and haematinic deficiency","0","[80,120]",6920,43290,0.15985215985216
"Atrial fibrillation","0","[65,70)",1964,43151,0.0455145883061806
"Visual impairment","1","[70,75)",3288,37439,0.0878228585165202
"Chronic kidney disease","0","[80,120]",11657,43290,0.269276969276969
"Housebound","1","[40,45)",382,51159,0.00746691686702242
"Housebound","1","[60,65)",1108,43894,0.0252426299722058
"Atrial fibrillation","0","[80,120]",6795,43290,0.156964656964657
"Chronic kidney disease","0","[75,80)",5696,29396,0.193767859572731
"Cerebrovascular disease","1","[80,120]",6836,64298,0.106317459329995
"Chronic kidney disease","1","[45,50)",3127,51796,0.0603714572553865
"Requirement for care","0","[65,70)",448,43151,0.0103821464160738
"Weight loss and anorexia","1","[80,120]",4212,64298,0.0655074807925596
"Weight loss and anorexia","1","[70,75)",1034,37439,0.0276182590346964
