"category","is_female","age_group","total","n","prop"
"Hypertension","1","[55,60)",14806,184234,0.080365187750361
"Hypertension","0","[55,60)",19193,179077,0.107177359459897
"Respiratory disease","1","[75,80)",22493,120407,0.186808075942429
"Respiratory disease","1","[70,75)",25134,142086,0.176892867699844
"Ischaemic heart disease","0","[60,65)",8599,168738,0.050960660906257
"Ischaemic heart disease","0","[75,80)",12006,105382,0.113928374864778
"Ischaemic heart disease","1","[70,75)",6031,142086,0.0424461241783145
"Hypertension","0","[65,70)",21431,164562,0.130230551403119
"Respiratory disease","1","[50,55)",23597,206433,0.11430827435536
"Ischaemic heart disease","1","[65,70)",4739,168324,0.0281540362633968
"Arthritis","1","[80,120]",31174,233184,0.133688417730204
"Respiratory disease","0","[65,70)",22812,164562,0.138622525248842
"Skin ulcer","0","[75,80)",2680,105382,0.0254312880757625
"Ischaemic heart disease","0","[65,70)",11161,164562,0.0678224620507772
"Hypertension","0","[80,120]",15927,151396,0.105200930011361
"Memory and cognitive problems","1","[80,120]",40044,233184,0.17172704816797
"Respiratory disease","0","[40,45)",14691,172657,0.085087775184325
"Arthritis","0","[70,75)",16080,133029,0.120875899240015
"Memory and cognitive problems","0","[50,55)",614,194439,0.00315780270419
"Osteoporosis","1","[75,80)",8982,120407,0.0745969918692435
"Skin ulcer","0","[40,45)",469,172657,0.00271636829088887
"Hypertension","0","[45,50)",11905,191151,0.0622806053852713
"Hypertension","1","[45,50)",8990,206166,0.0436056381750628
"Hypotension / syncope","1","[70,75)",4192,142086,0.0295032585898681
"Urinary system disease","0","[70,75)",19444,133029,0.146163618459133
"Peripheral vascular disease","1","[50,55)",446,206433,0.00216050728323475
"Peripheral vascular disease","1","[70,75)",1422,142086,0.0100080233098264
"Hypotension / syncope","1","[60,65)",3047,172121,0.0177026626617322
"Osteoporosis","1","[55,60)",4808,184234,0.026097245893809
"Fragility fracture","1","[75,80)",5051,120407,0.0419493883245991
"Memory and cognitive problems","0","[75,80)",6822,105382,0.0647359131540491
"Hypotension / syncope","0","[80,120]",10214,151396,0.0674654548336812
"Peptic ulcer","1","[60,65)",366,172121,0.00212641107128125
"Diabetes","0","[75,80)",22012,105382,0.208878176538688
"Skin ulcer","1","[50,55)",694,206433,0.00336186559319489
"Peripheral vascular disease","1","[45,50)",252,206166,0.00122231599778819
"Hypertension","0","[40,45)",6726,172657,0.0389558488795705
"Urinary system disease","1","[80,120]",18919,233184,0.0811333539179361
"Fragility fracture","1","[65,70)",3747,168324,0.0222606401939117
"Memory and cognitive problems","1","[65,70)",2618,168324,0.0155533376107982
"Memory and cognitive problems","0","[65,70)",2953,164562,0.0179446044651864
"Memory and cognitive problems","0","[55,60)",959,179077,0.00535523824946811
"Hypotension / syncope","0","[65,70)",3788,164562,0.0230186798896465
"Diabetes","0","[55,60)",19033,179077,0.106283889053312
"Osteoporosis","1","[50,55)",2850,206433,0.0138059321910741
"Hypotension / syncope","1","[75,80)",4881,120407,0.0405375102776417
"Diabetes","1","[75,80)",18528,120407,0.153878096788393
"Peptic ulcer","0","[45,50)",270,191151,0.00141249588022035
"Osteoporosis","0","[50,55)",550,194439,0.00282865063078909
"Memory and cognitive problems","1","[50,55)",672,206433,0.00325529348505326
"Heart failure","1","[80,120]",8575,233184,0.03677353506244
"Hypotension / syncope","0","[50,55)",2325,194439,0.0119574776665175
"Peptic ulcer","1","[70,75)",429,142086,0.00301929817152992
"Peripheral vascular disease","0","[45,50)",282,191151,0.00147527347489681
"Peripheral vascular disease","1","[40,45)",114,187171,0.000609068712567652
"Osteoporosis","0","[80,120]",3434,151396,0.0226822373114217
"Fragility fracture","1","[50,55)",1242,206433,0.00601647992326808
"Hypotension / syncope","1","[55,60)",2894,184234,0.0157082840300922
"Diabetes","1","[55,60)",12262,184234,0.0665566616368314
"Memory and cognitive problems","0","[45,50)",419,191151,0.00219198434745306
"Heart failure","0","[50,55)",803,194439,0.00412982992095207
"Urinary incontinence","0","[75,80)",1552,105382,0.0147273727961132
"Peptic ulcer","1","[75,80)",489,120407,0.00406122567624806
"Urinary system disease","1","[50,55)",8839,206433,0.0428177665392646
"Fragility fracture","0","[75,80)",1295,105382,0.0122886261410867
"Heart failure","0","[60,65)",1847,168738,0.0109459635648165
"Housebound","1","[40,45)",3190,187171,0.0170432385358843
"Chronic kidney disease","0","[50,55)",19689,194439,0.101260549581103
"Housebound","0","[80,120]",51829,151396,0.342340616660942
"Chronic kidney disease","0","[75,80)",26120,105382,0.24786016587273
"Cerebrovascular disease","1","[75,80)",6127,120407,0.0508857458453412
"Chronic kidney disease","1","[60,65)",24090,172121,0.139959679527774
"Chronic kidney disease","1","[80,120]",72450,233184,0.310698847262248
"Anaemia and haematinic deficiency","1","[80,120]",21146,233184,0.0906837518869219
"Visual impairment","0","[75,80)",10543,105382,0.100045548575658
"Social vulnerability","1","[70,75)",1782,142086,0.0125417000971243
"Housebound","0","[70,75)",12440,133029,0.0935134444369273
"Visual impairment","0","[45,50)",2839,191151,0.0148521326072058
"Visual impairment","1","[65,70)",8958,168324,0.0532187923290796
"Requirement for care","0","[40,45)",634,172657,0.00367202024823784
"Falls","1","[45,50)",3300,206166,0.0160065190186549
"Visual impairment","1","[70,75)",10762,142086,0.0757428599580536
"Atrial fibrillation","1","[65,70)",2858,168324,0.0169791592405123
"Thyroid disease","0","[70,75)",2309,133029,0.0173571176209699
"Activity limitation","1","[80,120]",5345,233184,0.022921812817346
"Requirement for care","0","[75,80)",1530,105382,0.0145186084910136
"Thyroid disease","0","[65,70)",2329,164562,0.0141527205551707
"Housebound","1","[55,60)",6361,184234,0.0345267431635854
"Requirement for care","1","[70,75)",1167,142086,0.00821333558549048
"Chronic kidney disease","1","[50,55)",22568,206433,0.109323606206372
"Atrial fibrillation","1","[80,120]",18436,233184,0.0790620282695211
"Weight loss and anorexia","1","[75,80)",3623,120407,0.0300896127301569
"Requirement for care","0","[80,120]",5433,151396,0.035886020766731
"Falls","0","[80,120]",19323,151396,0.12763216993844
"Hearing impairment","1","[65,70)",6751,168324,0.0401071742591668
"Atrial fibrillation","0","[70,75)",6694,133029,0.0503198550691954
