"age_group","is_female","n","prefrail","frail"
"[45,50)",1,206166,0.00588360835443284,0.0000970092061736659
"[75,80)",0,105382,0.0448084113036382,0.00217304663035433
"[55,60)",1,184234,0.0106929231303668,0.000282249747603591
"[75,80)",1,120407,0.0514588022291063,0.00283206125889691
"[80,120]",0,151396,0.0740772543528231,0.00399614256651431
"[60,65)",0,168738,0.0106733515864832,0.000308170062463701
"[60,65)",1,172121,0.013844911428588,0.000493838636772968
"[40,45)",0,172657,0.00169121437300544,0.0000231673201781567
"[40,45)",1,187171,0.00407648620779929,0.0000373989560348558
"[45,50)",0,191151,0.00260003871285005,0.0000418517297843066
"[55,60)",0,179077,0.00675686994979813,0.000184278271358131
"[65,70)",1,168324,0.0192367101542264,0.000730733585228488
"[70,75)",0,133029,0.0263852242744063,0.00105240210781108
"[80,120]",1,233184,0.0792592973788939,0.00473017016604913
"[50,55)",0,194439,0.00434583596912142,0.000113146025231564
"[50,55)",1,206433,0.00824480582077478,0.000184079095880988
"[65,70)",0,164562,0.0158116697658026,0.000480062225787241
"[70,75)",1,142086,0.030650451135228,0.0014427881705446
