"category","is_female","age_group","total","n","prop"
"WgtLoss","0","[75,80)",1943,105382,0.0184376838549278
"Falls","1","[50,55)",4432,206433,0.0214694356038037
"WgtLoss","0","[60,65)",1199,168738,0.00710569047873034
"Falls","0","[60,65)",3063,168738,0.018152401948583
"Falls","0","[70,75)",4375,133029,0.0328875658690962
"Falls","0","[45,50)",1934,191151,0.0101176556753561
"WgtLoss","1","[45,50)",932,206166,0.00452062900769283
"Falls","1","[40,45)",2552,187171,0.0136345908287074
"GaitAb","1","[80,120]",600,233184,0.00257307533964594
"GaitAb","1","[75,80)",293,120407,0.00243341333975599
"GaitAb","1","[70,75)",244,142086,0.00171726982250187
"GaitAb","0","[45,50)",115,191151,0.000601618615649408
"GaitAb","1","[65,70)",179,168324,0.00106342529882845
"GaitAb","0","[65,70)",245,164562,0.00148880057364398
"GaitAb","1","[50,55)",145,206433,0.000702407076387981
"GaitAb","0","[40,45)",85,172657,0.00049230555378583
"Chronpain","1","[45,50)",19365,206166,0.093929163877652
"PVD","0","[75,80)",4243,105382,0.0402630430244254
"Arthritis","1","[50,55)",8878,206433,0.0430066898218793
"Dementia","0","[80,120]",12347,151396,0.0815543343285159
"Hearing","0","[80,120]",8331,151396,0.0550278739200507
"Arthritis","0","[75,80)",14179,105382,0.134548594636655
"Arthritis","0","[55,60)",12044,179077,0.0672559848556766
"Hearing","1","[80,120]",12243,233184,0.0525036023054755
"Arthritis","0","[65,70)",16499,164562,0.10026008434511
"Lung","1","[55,60)",6567,184234,0.0356448863944766
"Chronpain","0","[40,45)",13022,172657,0.0754212108399891
"Thyroid","1","[75,80)",2626,120407,0.0218093632430008
"Depress","1","[50,55)",9332,206433,0.0452059505989837
"Chronpain","1","[50,55)",19671,206433,0.0952899972388136
"Fatigue","1","[40,45)",13339,187171,0.0712663820784203
"Depress","1","[40,45)",10375,187171,0.0554305955516613
"HTN","0","[60,65)",9745,168738,0.0577522549751686
"Hearing","1","[50,55)",2457,206433,0.011902166804726
"PD","1","[55,60)",941,184234,0.00510763485567268
"Chronpain","0","[60,65)",11854,168738,0.0702509215470137
"CVA","0","[65,70)",1885,164562,0.0114546493115057
"Depress","0","[65,70)",2487,164562,0.0151128450067452
"Vision","0","[65,70)",2169,164562,0.0131804426295256
"Anxiety","1","[65,70)",3066,168324,0.0182148713195979
"Chronpain","1","[55,60)",17189,184234,0.0932998252222717
"Cancer","0","[50,55)",1622,194439,0.00834194786025437
"Vision","0","[45,50)",601,191151,0.00314411120004604
"Lung","0","[80,120]",10537,151396,0.0695989326005971
"Anxiety","0","[45,50)",2919,191151,0.0152706499050489
"Depress","1","[60,65)",5456,172121,0.0316986306145096
"Fatigue","1","[75,80)",9524,120407,0.079098391289543
"Chronpain","1","[80,120]",22064,233184,0.0946205571565802
"Diabetes","1","[50,55)",4391,206433,0.0212708239477215
"Kidney","0","[75,80)",8186,105382,0.0776793000702207
"Incont","0","[75,80)",1823,105382,0.0172989694634757
"Diabetes","1","[70,75)",6054,142086,0.0426079979730586
"Chronpain","1","[70,75)",12743,142086,0.0896851202792675
"Dementia","0","[40,45)",1575,172657,0.0091221323201492
"Arthritis","1","[60,65)",15417,172121,0.0895707089779864
"HF","0","[65,70)",1629,164562,0.00989900463047362
"Kidney","1","[60,65)",3921,172121,0.0227804858210213
"Chronpain","1","[60,65)",15154,172121,0.0880427141371477
"Anxiety","1","[55,60)",3940,184234,0.0213858462607336
"Depress","0","[60,65)",3677,168738,0.0217911792245967
