"category","is_female","age_group","total","n","prop"
"Respiratory disease","1","[60,65)",2777,27399,0.101354064016935
"Respiratory disease","0","[65,70)",2294,20991,0.109284931637368
"Respiratory disease","1","[50,55)",1664,17563,0.0947446336047372
"Memory and cognitive problems","1","[70,75)",51,5684,0.008972554539057
"Ischaemic heart disease","0","[55,60)",662,15449,0.0428506699462748
"Arthritis","1","[70,75)",908,5684,0.159746657283603
"Respiratory disease","0","[40,45)",503,6031,0.0834024208257337
"Hypertension","1","[65,70)",4484,22599,0.19841585910881
"Arthritis","1","[65,70)",3290,22599,0.145581662905438
"Respiratory disease","0","[45,50)",931,11440,0.0813811188811189
"Respiratory disease","1","[65,70)",2649,22599,0.117217575998938
"Arthritis","0","[55,60)",1323,15449,0.0856366107838695
"Diabetes","0","[65,70)",2211,20991,0.105330856081178
"Respiratory disease","0","[50,55)",985,12800,0.076953125
"Respiratory disease","1","[55,60)",1978,20464,0.0966575449569977
"Respiratory disease","0","[60,65)",1917,21827,0.087827003252852
"Respiratory disease","1","[45,50)",1384,14635,0.0945678168773488
"Ischaemic heart disease","0","[70,75)",726,5525,0.131402714932127
"Arthritis","0","[65,70)",3072,20991,0.14634843504359
"Ischaemic heart disease","0","[60,65)",1568,21827,0.0718376322902827
"Respiratory disease","0","[55,60)",1275,15449,0.0825296135672212
"Urinary system disease","0","[65,70)",2435,20991,0.116002096136439
"Arthritis","0","[50,55)",770,12800,0.06015625
"Ischaemic heart disease","1","[65,70)",983,22599,0.0434974998893756
"Skin ulcer","0","[45,50)",18,11440,0.00157342657342657
"Arthritis","1","[60,65)",3167,27399,0.11558816015183
"Arthritis","0","[45,50)",488,11440,0.0426573426573427
"Arthritis","0","[70,75)",887,5525,0.160542986425339
"Skin ulcer","0","[70,75)",37,5525,0.00669683257918552
"Arthritis","1","[50,55)",954,17563,0.0543187382565621
"Respiratory disease","1","[70,75)",703,5684,0.123680506685433
"Hypertension","0","[50,55)",1393,12800,0.108828125
"Ischaemic heart disease","1","[60,65)",667,27399,0.0243439541589109
"Fragility fracture","1","[60,65)",355,27399,0.0129566772509946
"Hypertension","0","[70,75)",1462,5525,0.264615384615385
"Hypertension","1","[60,65)",4037,27399,0.147341143837366
"Hearing impairment","1","[70,75)",246,5684,0.0432793807178044
"Hearing impairment","1","[45,50)",207,14635,0.0141441749231295
"Hearing impairment","1","[65,70)",830,22599,0.0367272888180893
"Arthritis","1","[40,45)",132,7159,0.0184383293756111
"Ischaemic heart disease","1","[50,55)",149,17563,0.00848374423503957
"Ischaemic heart disease","0","[65,70)",2313,20991,0.110190081463484
