"category","is_female","age_group","total","n","prop"
"Kidney","0","[50,55)",170,12800,0.01328125
"Falls","1","[60,65)",542,27399,0.0197817438592649
"WgtLoss","1","[60,65)",136,27399,0.00496368480601482
"WgtLoss","1","[45,50)",42,14635,0.00286983259309874
"WgtLoss","0","[60,65)",118,21827,0.00540614834837586
"Falls","0","[45,50)",112,11440,0.00979020979020979
"Kidney","1","[50,55)",250,17563,0.0142344701930194
"WgtLoss","1","[55,60)",91,20464,0.00444683346364347
"Falls","0","[55,60)",146,15449,0.00945044986730533
"WgtLoss","1","[50,55)",66,17563,0.00375790013095713
"Falls","1","[70,75)",161,5684,0.0283251231527094
"Falls","0","[60,65)",263,21827,0.0120492967425665
"Falls","1","[65,70)",556,22599,0.0246028585335634
"WgtLoss","1","[65,70)",136,22599,0.00601796539669897
"Falls","1","[50,55)",238,17563,0.0135512156237545
"Falls","1","[55,60)",363,20464,0.0177384675527756
"WgtLoss","0","[65,70)",145,20991,0.00690772235720071
"Falls","1","[45,50)",150,14635,0.0102494021182098
"Kidney","0","[65,70)",1097,20991,0.0522604925920633
"Falls","0","[65,70)",284,20991,0.0135296079272069
"WgtLoss","1","[40,45)",24,7159,0.00335242352283839
"Falls","0","[50,55)",113,12800,0.008828125
"WgtLoss","1","[70,75)",38,5684,0.00668543279380718
"WgtLoss","0","[45,50)",40,11440,0.0034965034965035
"WgtLoss","0","[55,60)",62,15449,0.00401320473817076
"Falls","0","[40,45)",42,6031,0.00696401923395788
"WgtLoss","0","[50,55)",61,12800,0.004765625
"Falls","0","[70,75)",95,5525,0.0171945701357466
"GaitAb","0","[65,70)",36,20991,0.00171502072316707
"WgtLoss","0","[40,45)",25,6031,0.00414524954402255
"Falls","1","[40,45)",69,7159,0.00963821762816036
"WgtLoss","0","[70,75)",37,5525,0.00669683257918552
"Kidney","1","[60,65)",941,27399,0.0343443191357349
"GaitAb","1","[50,55)",13,17563,0.00074019245003701
"GaitAb","1","[65,70)",32,22599,0.00141599185804682
"GaitAb","0","[55,60)",22,15449,0.00142404039096382
"Fatigue","0","[65,70)",315,20991,0.0150064313277119
"HTN","0","[60,65)",3668,21827,0.168048746964768
"HTN","1","[55,60)",1774,20464,0.0866888193901486
"Vision","0","[55,60)",162,15449,0.0104861156061881
"Cancer","0","[50,55)",238,12800,0.01859375
"Thyroid","1","[60,65)",1346,27399,0.0491258805065878
"Anxiety","1","[60,65)",239,27399,0.0087229460929231
"Hearing","0","[60,65)",612,21827,0.0280386677051358
"PVD","0","[45,50)",230,11440,0.0201048951048951
"HTN","1","[50,55)",1124,17563,0.0639981779878153
"Vision","1","[55,60)",197,20464,0.00962666145426114
"Cancer","0","[65,70)",1248,20991,0.0594540517364585
"Cancer","1","[50,55)",327,17563,0.0186186870124694
"CAD","0","[60,65)",1047,21827,0.0479681128877079
"HTN","0","[65,70)",4481,20991,0.213472440569768
"HTN","1","[45,50)",563,14635,0.038469422617014
"Chronpain","0","[70,75)",178,5525,0.0322171945701357
"Depress","1","[60,65)",952,27399,0.0347457936421037
"HTN","1","[65,70)",3736,22599,0.165317049426966
"Lung","0","[65,70)",1406,20991,0.0669810871325806
"Diabetes","1","[55,60)",505,20464,0.0246774824081314
"HTN","1","[70,75)",1089,5684,0.191590429275158
"Kidney","0","[60,65)",663,21827,0.0303752233472305
"Cancer","1","[60,65)",843,27399,0.0307675462608124
"Arthritis","1","[55,60)",1746,20464,0.0853205629397967
"Dementia","1","[45,50)",43,14635,0.00293816194055347
"Arthritis","0","[60,65)",2368,21827,0.108489485499611
"Diabetes","1","[65,70)",891,22599,0.039426523297491
"Diabetes","0","[65,70)",1657,20991,0.0789385927302177
"Hearing","0","[65,70)",758,20991,0.0361107141155733
"Cancer","0","[70,75)",408,5525,0.0738461538461539
"Cancer","0","[55,60)",374,15449,0.0242086866463849
"Lung","1","[45,50)",700,14635,0.0478305432183123
"Anxiety","1","[45,50)",159,14635,0.0108643662453024
"HTN","0","[55,60)",1885,15449,0.122014369862127
